branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
1630136137763864,1681150.159,60.43%,132128835,0.00%,59.92%,534244576,0.551,74.75%,1313292494825880,30.430,75.01%,4315835640571260,4450896.833,75.00%,9478208943060780,9774.823,54.94%,17995260644,0.00,62.49%,55644270945,57.386,74.98%,59863,0.062,969468.734338,999.808,2507,0.003,0,0.000,0,0.000,189111,0.195,189122,0.195,969655.285870,48.114,20.153317510
3605901605,3.774,54.22%,132479331,3.67%,70.83%,505662208,0.529,75.00%,2814632057098092,74.989,75.00%,3753411351366836,3928625.946,74.99%,9847960380613900,10307.677,50.02%,17569108384,0.00,62.51%,52661054714,55.119,75.00%,58122,0.061,955213.117430,999.804,2100,0.002,0,0.000,0,0.000,190400,0.199,190413,0.199,955400.540222,48.121,19.854280561
3824399150431489,4888107.667,58.88%,132217508,0.00%,66.16%,452967333,0.579,75.02%,8629599940682962,83.617,75.02%,10320432273497974,13190930.689,75.00%,33776343388207092,43170.808,50.00%,19122107216,0.00,62.48%,46253268545,59.118,74.98%,66027,0.084,782200.018489,999.759,2099,0.003,0,0.000,0,0.000,188114,0.240,188123,0.240,782388.484692,48.149,16.249376116
1250238394534063,1463549.808,56.28%,140661363,0.00%,75.01%,514137861,0.602,75.01%,562891289542151,9.166,75.01%,6140865224059630,7188598.718,68.75%,10697888068146910,12523.125,49.99%,19142125516,0.00,62.49%,52648908171,61.632,74.99%,57803,0.068,854133.465010,999.863,2154,0.003,0,0.000,0,0.000,190030,0.222,190040,0.222,854250.663436,48.128,17.749645105
562410213416473,480051.319,50.05%,143002303,0.00%,74.99%,572439015,0.489,75.00%,562933482216717,9.374,75.00%,6005206891054678,5125809.278,74.99%,9004615472942912,7685.987,50.01%,18305393776,0.00,62.51%,60739932936,51.845,74.99%,62347,0.053,1171514.472127,999.959,2077,0.002,0,0.000,0,0.000,183675,0.157,183682,0.157,1171562.687032,48.092,24.360903323
278206172493930,426547.392,50.59%,129997194,0.00%,74.47%,413066325,0.633,74.99%,2627036932014016,82.353,75.00%,3189979611894870,4890896.098,75.00%,10128551479532082,15529.157,50.02%,17129667134,0.00,62.50%,43659878244,66.940,74.99%,57462,0.088,652189.252734,999.941,2285,0.004,0,0.000,0,0.000,209532,0.321,209543,0.321,652228.047311,48.159,13.543326878
1839232324200983,2227923.757,61.22%,119546248,0.00%,63.81%,448009136,0.543,75.01%,1500833438511070,33.328,75.02%,4503191815528990,5454867.172,75.01%,8161052999192032,9885.757,50.01%,16821289291,0.00,62.48%,46710024576,56.581,74.97%,54905,0.067,825422.752940,999.862,2186,0.003,0,0.000,0,0.000,179237,0.217,179244,0.217,825536.474707,48.139,17.148982107
534505846729731,877472.827,52.66%,123288736,0.00%,74.98%,379996787,0.624,75.00%,1125527598724445,26.325,75.02%,4275462398842236,7018823.278,72.42%,11259353382609088,18483.945,50.00%,16828435800,0.00,62.49%,40158178945,65.926,74.98%,56685,0.093,608979.347962,999.732,2348,0.004,0,0.000,0,0.000,179357,0.294,179362,0.294,609142.334767,48.187,12.641294895
2241807705148297,2419857.218,62.78%,110914418,0.00%,62.26%,456494189,0.493,75.01%,1313368405682409,38.884,75.01%,3377697829901096,3645962.344,75.00%,10414337614533012,11241.468,50.00%,14546652010,0.00,62.49%,47335201891,51.095,74.98%,39820,0.043,926408.058386,999.986,1849,0.002,0,0.000,0,0.000,167129,0.180,167132,0.180,926421.479857,48.117,19.253581281
1312152765774010,2318474.137,64.35%,119728518,0.00%,60.69%,382922603,0.677,75.00%,562778931104553,14.285,75.02%,3939640734175594,6961045.536,75.02%,10131632990502530,17901.825,50.01%,16580730236,0.00,62.48%,38733818343,68.440,74.96%,53792,0.095,565913.658299,999.926,2178,0.004,0,0.000,0,0.000,178478,0.315,178482,0.315,565955.317169,48.205,11.740582590
1379363888496558,1536602.207,61.22%,124596146,0.00%,59.64%,484173423,0.539,75.00%,2063641949222163,61.106,75.02%,3377158159631615,3762131.751,75.01%,11172128629012960,12445.677,54.17%,16904727578,0.00,62.48%,50333281684,56.071,74.97%,59521,0.066,897510.367451,999.821,2238,0.002,0,0.000,0,0.000,181120,0.202,181129,0.202,897671.422147,48.127,18.651976249
1144589186438493,1198018.391,61.48%,126334041,0.00%,63.56%,499913228,0.523,75.01%,1688691778145341,49.990,75.01%,3378051908353058,3535738.726,74.99%,8162065532490524,8543.069,50.00%,18385041587,0.00,62.50%,52708083528,55.168,75.00%,59103,0.062,955401.495830,999.999,2163,0.002,0,0.000,0,0.000,178354,0.187,178360,0.187,955402.016417,48.118,19.855386439
1742165749046240,1910006.070,64.63%,142452489,0.00%,59.13%,480441792,0.527,74.99%,563031150978703,12.501,74.99%,4503958126356016,4937869.641,74.99%,11242668228755596,12325.787,51.32%,17841194213,0.00,62.51%,49607398672,54.387,74.98%,61700,0.068,911903.191851,999.756,2057,0.002,0,0.000,0,0.000,181535,0.199,181546,0.199,912125.765597,48.125,18.953446455
8179598289780426,7156803.630,65.38%,152628917,0.00%,59.66%,574502400,0.503,75.00%,375295326565776,2.597,75.00%,14449522258315514,12642722.745,75.00%,34335553926542096,30042.162,50.01%,18593775236,0.00,62.51%,59858671356,52.374,75.00%,68376,0.060,1142658.114433,999.778,2192,0.002,0,0.000,0,0.000,188051,0.165,188057,0.165,1142912.215152,48.099,23.761790387
1069560658328839,1056039.280,52.63%,133875370,0.00%,72.39%,513821448,0.507,75.01%,750442632011502,21.049,75.02%,3565251237426650,3520179.357,75.00%,11258059965255912,11115.736,50.00%,17504214108,0.00,62.48%,53630164742,52.952,74.98%,58604,0.058,1012754.785179,999.952,2407,0.002,0,0.000,0,0.000,177974,0.176,177981,0.176,1012803.858941,48.102,21.055327555
1405872768500842,1703702.943,50.05%,137056956,0.00%,75.01%,709072427,0.859,75.01%,562860962367834,11.997,75.01%,4691726557776762,5685655.574,74.99%,10976958863248788,13302.397,50.00%,19325921371,0.00,62.50%,74741531837,90.575,75.00%,60933,0.074,824949.339076,999.713,2214,0.003,0,0.000,0,0.000,184175,0.223,184189,0.223,825186.558890,48.141,17.141094241
1651110656257444,2423298.769,59.67%,124132397,0.00%,61.20%,407659177,0.598,75.00%,562771500220868,14.998,75.02%,3752265468278526,5507117.440,75.01%,9612322741526262,14107.795,54.17%,16679800465,0.00,62.49%,41625000063,61.092,74.97%,54810,0.080,681114.554501,999.657,2204,0.003,0,0.000,0,0.000,182454,0.268,182464,0.268,681348.365874,48.169,14.144993351
1687480006477225,1495597.780,50.04%,141066293,0.00%,74.98%,573762553,0.509,74.99%,375214569328654,8.000,75.02%,4690272897249898,4156945.092,75.02%,10977054188792274,9728.861,50.00%,17862469043,0.00,62.49%,60232589058,53.384,74.99%,58677,0.052,1128123.403993,999.845,2029,0.002,0,0.000,0,0.000,178635,0.158,178643,0.158,1128298.015334,48.095,23.459878462
5927074609409410,6115331.540,61.74%,145019752,0.00%,60.43%,499566714,0.515,75.02%,2626504484575529,19.441,75.02%,13510035928921858,13939144.396,75.00%,35149174288903260,36265.589,52.85%,19157633838,0.00,62.49%,52375159171,54.039,74.99%,66166,0.068,969394.240097,1000.184,2368,0.002,0,0.000,0,0.000,177986,0.184,177995,0.184,969215.580626,48.090,20.154076547
1686900520181231,2117294.222,50.06%,133640669,0.00%,74.98%,455344747,0.572,74.98%,562890110251158,12.001,75.01%,4690463341117056,5887182.327,75.01%,9567616454434834,12008.686,50.01%,17085683772,0.00,62.50%,46826245798,58.773,74.99%,58389,0.073,796564.197134,999.799,2239,0.003,0,0.000,0,0.000,181852,0.228,181859,0.228,796724.660532,48.146,16.548119555
1404758546038485,2253319.160,50.09%,124530384,0.00%,75.00%,376536501,0.604,74.99%,375318541396900,6.249,75.00%,6006283472906462,9634448.333,74.98%,9565280702618102,15343.299,50.03%,17142763847,0.00,62.52%,40357592341,64.736,75.00%,55307,0.089,623367.108230,999.919,2175,0.003,0,0.000,0,0.000,182326,0.292,182337,0.292,623417.477090,48.170,12.942076455
4726777165642888,4298960.236,62.53%,142782714,0.00%,57.83%,563568232,0.513,74.99%,5442168665996632,78.376,75.00%,6943684015123602,6315216.568,74.99%,26499775466193600,24101.301,54.70%,19433551558,0.00,62.51%,59064221093,53.718,74.99%,64241,0.058,1099260.030182,999.767,2274,0.002,0,0.000,0,0.000,180892,0.165,180902,0.165,1099516.372953,48.102,22.858144414
1397241441019027,1207327.662,60.44%,140691930,0.00%,60.42%,566397320,0.489,75.01%,2251433009942267,119.989,75.01%,1876362754714448,1621326.559,75.01%,10912355979616690,9429.143,54.17%,18217450124,0.00,62.49%,58927449339,50.918,74.98%,61416,0.053,1157050.449090,999.784,2250,0.002,0,0.000,0,0.000,181420,0.157,181431,0.157,1157300.942145,48.099,24.060765599
1102613538735920,1228276.328,63.82%,133245396,0.00%,60.68%,475438953,0.530,75.01%,562805573356066,15.788,75.02%,3564713962145819,3970977.701,75.01%,11699559938948702,13032.937,50.52%,18038257411,0.00,62.49%,49531257826,55.176,74.98%,58962,0.066,897502.605480,999.789,2307,0.003,0,0.000,0,0.000,181566,0.202,181577,0.202,897691.760280,48.129,18.651922373
