m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
108864,42926,3495172,21178,46970,3335432,20122,49744,723664
96510,40236,3732460,33054,53332,3334604,32658,49742,723248
95982,39848,3657796,19978,46430,3333616,20362,49720,723686
95322,55640,3688868,19990,49858,3376816,19500,45300,723718
95862,39776,3578212,19888,46382,3328312,20140,49712,723124
96126,56054,3340500,20420,49726,3336348,19760,46268,723168
245094,145008724,3653868,19404,45182,3330292,91124496,143678,726999
134452,27419606,3684432,20522,49858,3337068,36066,51486,727115
114410,59870,3655500,19762,45314,3337668,36774,55796,727458
291156,91486,3658048,33152,53332,3336916,32674,48674,723596
96126,40212,3653072,19752,46562,3334340,20148,49924,724475
102120,56110,3656900,20436,49858,3333624,19776,46448,724420
95188,55908,3687444,19860,46486,3351076,22218,49470,721897
100074,44826,3303404,20548,50036,3335428,20152,46628,725155
94794,39374,3616592,19728,46430,3365588,20042,48724,726083
92878,39672,3702208,20280,46430,3337784,20148,46268,724063
379438,115196,3554728,21688,47282,3335004,20236,46268,723142
99016,56532,3532208,20214,46514,3340744,20226,46268,722664
92518,40140,3703496,20286,46562,3329116,19758,46448,723334
98720,56226,3556808,20240,46694,3327500,36406,46952,723096
93022,39444,3583480,20160,46382,3338248,20210,48808,723051
94914,39626,3658708,19772,48706,3326160,19722,46448,726584
92780,39108,3552628,19884,46560,3327452,19934,48988,722864
365812,112282,3314388,20150,46382,3330148,20018,46268,723060
91448,39198,3629728,214696,96632,3332356,214646,97980,723169
91702,39262,3481776,20026,46826,3323020,19548,45380,723887
91582,39090,3608448,19702,45446,3329268,19904,46352,723461
92782,55998,3522296,19750,46382,3335548,19882,46268,723468
92650,39644,3504144,19674,45494,3334032,20944,46856,726972
93486,41686,3728520,20876,46314,3331700,21222,47268,723926
364490,111380,3606676,33048,49722,3329356,19650,46268,722998
95322,39362,3684848,214604,96896,3331944,215214,101590,723495
95056,39690,3547344,20282,49724,3331152,19924,45440,723812
96494,40354,3461488,20160,45576,3343932,20374,49610,723918
95214,39676,3516192,20106,48722,3340156,19728,46268,723694
94794,39354,3489012,19916,46382,3313604,19966,48544,722707
94912,39518,3562028,20072,48658,3342476,20130,46778,723199
381330,116022,3457296,21082,47150,3335456,20208,48544,723463
100932,55696,3684712,227836,103186,3332836,244056,101720,722901
94926,39562,3505064,20020,46382,3328716,19674,48724,723506
227726,132915940,3701668,19938,48836,3333708,54254446,105390,725954
95058,39630,3591668,19592,46382,3333048,19906,48544,723751
94926,39690,3643172,20044,48970,3346072,19850,46556,723716
231388,134598392,3702492,19860,46562,3342356,27206948,85298,728881
95264,40302,3565628,19806,48574,3328240,20944,46724,723198
109260,59904,3677300,19978,46718,3345840,20122,49612,722593
96126,39648,3702488,33288,53200,3336944,32760,49874,723230
95046,40402,3324672,20544,46954,3335792,19938,48724,726629
95706,39984,3644400,20580,49114,3336240,20158,46664,722943
96498,56876,3333992,20302,46382,3332560,20088,48544,726707
94914,40102,3539352,19938,48970,3365296,20020,46448,724606
95046,39606,3580640,19856,46382,3326740,19906,48724,722414
96498,40120,3673916,20290,49754,3335392,20026,46532,724280
108996,43902,3686248,21174,46970,3333428,20118,49744,723864
95058,39614,3591944,32966,52132,3318812,32652,49742,722053
95294,39978,3568464,19890,46382,3341072,19940,48544,723888
96124,39832,3649156,20024,49726,3368068,19760,46398,725516
96246,40132,3337892,20012,46802,3325768,20288,49612,722418
96114,39676,3656628,20378,49810,3330648,19862,46712,724216
94792,40154,3302104,19838,45180,3328540,20316,49612,724004
94914,39678,3670312,20416,49986,3338788,19678,45200,722582
107928,43104,3689596,19708,45314,3334276,20186,49744,723250
