m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
95066,39622,3670676,33184,53252,3347468,32706,48678,723300
95462,39906,3503056,19648,45450,3349836,20126,49748,724721
96006,40222,3325516,23114,50128,3337656,21252,45708,726020
96384,40690,3550356,19944,45316,3337912,20158,49616,723758
94922,39434,3673156,20442,49994,3357980,19568,45384,727476
197868,98486488,3692484,19538,45186,3351904,37580074,96126,725995
101088,56348,3659052,20098,48794,3384784,36054,46536,723970
216906,101181234,3718244,21078,46974,3358404,55888346,112254,726862
135372,28028826,3333992,33284,53204,3348536,49570,56080,725197
95066,39486,3608388,19628,46386,3359072,20866,49136,725146
96002,56114,3481436,20252,49910,3344820,36126,46584,723042
100520,44088,3665492,24026,49684,3347664,24252,54054,723810
94922,39698,3552596,20418,49862,3341624,19544,45204,722921
136786,35482008,3712024,19918,45822,3353048,2019478,61252,726738
96506,56700,3738652,20448,49758,3351556,19574,45204,723597
94800,39574,3693220,19932,45426,3348804,20158,49614,723050
367976,111952,3688824,34500,53808,3358776,32254,48546,724948
96002,40092,3715096,214920,97836,3347044,215184,101330,724790
95868,39776,3298136,20284,49598,3345848,19756,46270,723162
115334,6703142,3697784,24098,50796,3354800,40780,60028,724956
95196,39638,3532476,19992,49728,3350624,20886,45652,724358
95186,39618,3490032,19756,45186,3339952,20102,49796,722908
94934,39434,3548708,20286,49910,3379216,19544,45204,724448
119960,46226,3752016,19838,45630,3334904,20184,49616,722021
95066,39874,3608296,228184,104786,3355568,227838,100572,723598
97254,39792,3585356,19512,45366,3352808,21178,50384,723930
102008,56306,3685092,20150,49778,3332220,20018,46404,721808
95870,39952,3587576,19862,46386,3347948,19994,49796,723326
96000,39780,3554852,20286,50222,3346748,19758,46450,724698
271224,173062066,3700596,20152,46678,3353576,120418302,174546,727706
96242,40394,3710060,21622,50070,3349180,19892,45384,723732
113678,59562,3559020,19802,45678,3347256,36550,50108,724751
95064,39438,3524856,33290,53646,3347588,32548,48678,723394
97586,39982,3699060,19542,45184,3352396,20176,52462,724918
96120,39448,3631340,20360,50126,3339000,21014,45854,726336
94934,39298,3689968,19674,45630,3354912,20152,49616,723829
284148,181985464,3341860,20284,49862,3349092,110501088,161530,730609
204492,101499700,3366252,20274,46806,3338964,37282144,94342,725348
92658,39832,3526496,20036,46674,3345328,20048,46272,724049
115594,60514,3642560,19680,45318,3347688,36560,55670,724251
95066,56164,3592156,33824,53528,3349632,32578,48726,723524
290228,91400,3546576,19910,45762,3329376,21312,50204,721575
95066,56140,3666316,20282,49730,3354208,85924,64334,723556
97732,39926,3682852,19910,45450,3336916,20280,52462,722617
180612,84170968,3669272,25486,54460,3384748,40564314,97436,727883
100940,56312,3719596,19650,45186,3344632,36530,50060,724244
94098,56582,3690272,20018,46386,3344064,19886,46452,722682
100940,55840,3551304,19666,45402,3357168,36622,49944,723891
289962,91404,3464716,33020,53250,3348120,33914,49102,726939
100928,56304,3701112,292676,117348,3342940,309952,127784,722987
100928,55972,3635424,20540,49730,3350136,35936,45468,723873
95198,39294,3498480,19672,45630,3348976,20018,49748,723730
101340,56092,3722692,20358,49922,3351504,36030,51294,724508
96316,40218,3538424,20072,45448,3349396,20578,50212,724294
95052,39578,3689240,20448,50220,3341256,19574,45204,723244
147352,53862,3660588,20162,45558,3349528,19992,49614,724187
94670,39554,3537264,306168,125498,3343460,200300,93012,723827
94934,39290,3514800,19670,45858,3342792,21336,50336,723909
111504,8477512,3368620,21670,50646,3338416,36226,52054,725580
113748,12699592,3536312,19838,45318,3354316,37130,56082,724246
101312,56048,3604948,20536,50042,3341864,36064,45600,722211
95066,39766,3695440,19632,45474,3350948,20450,49812,727644
92898,39770,3640016,19722,46254,3357936,21024,45904,724276
107220,41864,3690712,19812,45676,3349000,20158,49928,724586
95066,55824,3697556,33282,53384,3352944,32408,48678,724433
92910,39732,3565356,20022,46518,3358804,19878,46356,726456
299974,189364114,3658296,21182,49682,3343416,189345332,249478,727490
98928,56298,3651084,20254,46906,3351712,35996,46536,724089
91456,39346,3684652,19674,45184,3347140,22252,47532,723638
218118,115764170,3749120,24620,50908,3344348,35367812,93788,725615
101220,56496,3761312,20122,49910,3352920,35782,45336,724080
294828,189455798,3708900,19744,46254,3342608,158959978,220602,726319
91576,39274,3350396,33082,48914,3351828,19888,46452,724731
364632,111792,3601800,19592,46254,3374232,19510,45204,723900
92526,39944,3607080,138118,77472,3345104,214756,98118,723340
96368,40244,3770964,19908,46362,3351312,20180,49928,724701
92656,39312,3608900,19772,45318,3354988,20842,46610,723736
99328,56758,3601484,20056,46518,3343980,36606,52690,726860
92778,39618,3678692,19408,45318,3345144,19754,46452,723663
152320,52661172,3757040,19890,46386,3344884,36214,51442,723732
493322,149713102,3649992,19514,45186,3351460,104026122,157030,727481
92658,39240,3611112,214914,98232,3332384,214782,98166,722865
92908,39976,3495112,21098,46840,3343372,19910,46272,723029
92118,39366,3530368,19988,46698,3354864,19510,45648,723988
210568,112543200,3574884,19776,45186,3384020,72769604,128258,726446
216856,111140980,3714524,20512,46974,3351236,62044480,120034,726462
91710,39254,3696528,19676,45498,3347628,19758,46452,724890
98128,56108,3662700,20150,46650,3350308,35942,51078,724500
124048,22274412,3700004,19916,46650,3348016,36850,53122,727089
97984,55932,3788624,19674,45498,3352512,36306,52606,725914
105092,43180,3673028,19886,46254,3345032,20792,45808,725058
92576,39838,3574416,19680,45318,3344956,19762,46452,724035
91854,39374,3588108,19794,46878,3357928,19926,46272,723702
91458,39410,3515872,19920,46434,3349488,19814,45388,724220
103518,61110,3742912,24114,49744,3354228,20166,46766,725346
97594,55956,3713788,19884,46434,3348784,19790,45418,722624
288734,189380534,3703764,19724,46432,3345800,126160358,179746,727905
134380,34258456,3697984,19678,45450,3350432,6676762,62494,727008
300822,94968,3332536,21042,47106,3355044,19808,45384,723883
91458,39430,3555780,19650,45678,3351672,97860,66572,724233
92106,39518,3491488,20022,46650,3360228,20864,45924,723551
91986,39242,3518152,20256,46830,3354744,19992,47004,724252
92798,39950,3726804,20618,45970,3348632,21128,47188,724130
91830,55744,3687656,19922,46386,3347300,19576,45204,723482
91722,38970,3647328,19576,45630,3352756,20910,46612,724012
287688,91426,3307836,20108,46362,3350004,19976,46644,726756
92922,39700,3668468,292934,118944,3345916,292802,118962,722831
92790,39128,3487896,19762,46518,3347356,19762,46272,723014
92922,39504,3692708,19752,46386,3343024,19406,45336,722940
93186,55702,3668708,19878,46734,3355256,19758,46272,723844
93042,40678,3509100,20416,46518,3345884,19542,45204,722678
115746,14593400,3690256,19968,48662,3359164,36320,52146,724086
94934,39554,3538180,19728,46254,3349392,19910,48680,725900
98138,56040,3349380,292746,118140,3350848,153012,77320,725046
108172,43916,3318788,20242,46386,3347012,19908,45204,724959
91590,39534,3545012,19702,45478,3355200,20436,46776,723848
92788,39632,3626016,20278,46676,3358692,20938,46860,724079
163000,65432398,3359840,19918,46386,3352948,6742008,65266,726837
92776,39856,3485460,19850,46540,3384144,20982,46792,723966
92658,39640,3504692,20006,46338,3346056,20018,46272,723448
92526,39564,3543948,84726,62836,3346124,20166,46716,727285
92790,39696,3548252,20178,46698,3346816,19782,46632,723140
93156,40192,3506120,20022,46612,3357072,19878,46668,726840
100448,56802,3704744,20130,46518,3354240,36136,46848,726668
91842,39062,3654572,19778,45762,3349036,19728,46452,725408
130636,28841654,3740820,20008,47226,3343100,17854866,70570,726517
92766,40146,3682932,19540,45318,3356328,19754,46272,724600
91722,39510,3692036,19730,46434,3354632,19756,45576,724897
92658,39956,3687304,34036,49492,3351492,19864,46272,723816
91458,39130,3503456,19912,46386,3351856,19434,45072,724186
92526,39252,3578776,20946,47022,3353224,19758,46452,724040
92658,39876,3555324,20022,46594,3345852,20022,46272,723486
92790,39576,3527428,19854,46254,3356416,22294,47200,723727
94932,39506,3608692,19766,45582,3356020,20376,49714,724541
95186,39930,3522288,20394,49798,3362092,19544,45204,724586
107936,58954,3516032,19540,45186,3353204,20258,49816,724338
95090,39724,3650880,33254,53564,3342248,32870,48966,725926
387364,70891706,3621988,19772,45478,3393780,58128500,117858,727108
94934,39618,3319696,20420,49730,3354880,33658,49158,724039
100940,56036,3716304,19644,45630,3354160,36656,55754,724113
95592,39630,3553856,20054,49862,3349212,19576,45466,723310
94802,39478,3491008,19542,45186,3354752,19888,49616,723999
96386,39984,3489228,21664,50514,3353232,19884,46272,723632
113062,47532,3550868,24126,50644,3342916,24522,54234,723201
368348,112140,3303416,33404,53204,3355264,32876,49746,724365
95066,39826,3310536,215182,98748,3353080,215314,101462,724652
95990,39972,3610016,21558,50318,3352592,21226,46972,722914
95438,40094,3295244,19902,46518,3354652,20084,48728,724205
96530,39924,3548456,19946,49154,3351664,20148,46752,724456
138300,33735232,3575400,20124,46386,3357896,36856,55266,726232
101340,56372,3667512,19936,48842,3352308,36288,52458,724172
381242,115374,3664680,20150,47010,3357052,19672,48728,723548
95066,39562,3330312,228366,104010,3352920,227920,101196,722953
96134,39968,3564328,20050,46566,3357692,20088,49076,724106
95064,40246,3541084,20352,49058,3344160,20038,46534,723386
95066,39606,3651624,19540,45186,3354212,20150,49748,723533
94934,40098,3308684,21804,50070,3347952,19678,45564,724790
96254,40164,3499800,19676,45186,3331580,20274,49832,723221
369044,112250,3473916,19888,49598,3342604,19888,46272,722721
110994,58842,3674504,214686,97836,3343244,214604,97494,723847
97744,55860,3323976,19944,45450,3352856,36164,52326,724898
101204,56220,3516304,19860,46386,3347748,36180,48944,724417
101352,56372,3638968,20188,48746,3354316,36276,52494,724324
96242,40230,3715760,19718,46254,3352536,20416,48836,724857
92010,39416,3622540,19912,45478,3343256,19730,46272,723340
131944,50474,3298032,20150,46746,3353620,20018,46404,723628
92918,39576,3634084,214884,97966,3348848,214752,98296,724039
92526,39252,3543460,20218,46762,3352184,19758,46272,723894
96860,43958,3562820,24140,51512,3348236,23944,50530,722998
92790,39432,3609288,20298,46626,3333268,20970,46860,722573
91854,39746,3498536,19544,45366,3365736,19758,46272,723073
91590,39258,3711628,19522,45546,3350772,19868,46404,725102
91590,39298,3485216,20020,46386,3344772,19674,45204,722492
91842,39562,3631964,85084,62836,3349400,20008,46272,722586
98810,55802,3684788,19758,46252,3353436,35896,46716,725230
95198,39882,3490244,20048,49598,3354204,19916,46584,724125
184032,82534304,3725992,19676,45186,3351940,64163684,121422,726142
92778,39420,3363964,19858,46518,3345160,19990,46584,722990
98952,55824,3584096,19890,46678,3357240,36028,46716,723253
93846,40152,3511900,19914,46254,3345868,19902,46380,722512
118896,18397848,3363624,19808,45498,3356992,8620620,66582,728354
95870,39944,3276436,33124,53072,3349016,32860,49746,724245
95198,39366,3600412,19642,45630,3345392,19988,49976,723282
95184,40026,3639848,21626,50760,3359796,19564,45204,723558
123120,19000392,3706412,20302,45610,3352572,36802,55770,726060
99254,43776,3572836,24356,53986,3351352,24922,50510,724541
95186,40094,3465480,20270,46470,3344932,20018,49616,722748
98810,56182,3663896,19858,46518,3351756,36128,46402,724968
92786,39316,3522328,19976,46624,3365372,19724,46630,722933
95066,55916,3685856,33196,53072,3353340,48724,48942,723226
299272,770882,3354852,20350,46554,3353344,36656,55620,723962
92658,39508,3685656,162760,83528,3366312,292796,118746,723756
96446,40432,3332712,20112,46410,3351840,20018,46272,726000
93174,39672,3728544,19728,46386,3363748,19860,46536,724942
95066,39622,3669016,19824,45450,3345652,20050,49616,722591
96120,40078,3542628,20050,49596,3346976,19786,46452,722548
94934,39554,3534508,19670,45318,3354444,20148,49616,722939
290332,91560,3344688,33156,53300,3361592,32546,48858,724349
95012,39446,3630392,292856,117874,3342144,293070,122306,723243
96002,40092,3619876,21474,50186,3370216,19758,46272,724429
95054,39518,3531064,19544,45726,3363144,20154,49616,724158
102156,56522,3655832,20184,49730,3354788,37510,52734,724510
96002,39884,3658520,19918,46386,3385156,20182,49748,723632
96002,39952,3637068,20282,50042,3347584,20018,46272,725528
303086,95218,3543172,19882,46254,3358188,20196,48548,725139
94934,39230,3312536,305882,124610,3351284,305832,121908,722918
95450,39466,3648688,19966,46734,3350628,20148,49052,723351
96002,39956,3646324,19888,49598,3354776,20020,46404,722809
240912,134051702,3699604,20152,46518,3362764,83111222,138366,726186
298812,189384734,3661120,19930,48530,3349124,126763366,186118,725624
214024,107969534,3737144,23930,50688,3357892,40898906,101652,726474
115584,13146012,3672996,19914,48662,3393076,36282,53038,726600
109004,42982,3675892,19730,46254,3357836,20126,49616,727687
94934,39950,3645780,33588,53336,3345552,32916,49902,722800
100940,56096,3331232,19888,46254,3354952,36460,49076,724262
94922,39634,3586868,21480,49382,3361468,19978,46272,723813
94922,39874,3544236,20008,46254,3353160,20058,48728,724115
95054,39594,3305432,20044,48794,3360672,19850,46356,724778
98336,43728,3527392,24488,50824,3357556,23738,52710,723757
95066,39626,3633352,19946,48662,3384096,20016,46512,722670
108320,43404,3577272,19936,45762,3361596,20150,49616,723900
94802,39554,3548840,33282,53252,3349284,32672,48858,726280
95066,56532,3654336,19778,45318,3358224,20376,49700,724345
95870,39780,3647236,20550,50222,3349028,19758,46452,722866
96398,56038,3733600,19670,45318,3362020,19884,49796,727303
96516,40152,3300612,20502,49992,3347784,19974,46536,726090
97076,39584,3563964,20932,46566,3350824,21064,49796,724092
94934,39502,3663092,19660,46254,3356260,19710,48548,724148
95064,39550,3291708,20064,48972,3352600,19882,46272,723166
255990,139268960,3624064,0,0,2860288,106749260,168150,726482
95594,56164,3719396,20170,48822,3349232,19724,46536,723210
95066,39294,3541792,19754,46254,3364556,19804,49040,722678
95316,40086,3287556,20200,48924,3361600,19886,46272,726357
108738,43778,3463844,293200,118810,3352120,252424,110040,723515
92122,39468,3682628,22738,48660,3344576,23500,50118,723919
94376,38998,3486360,19870,46494,3340304,19560,47870,722927
91458,39214,3689144,19530,45294,3352936,19756,46452,723706
93846,40032,3449912,19854,46386,3354104,19854,46404,727214
91840,39450,3648880,19658,46434,3349508,20896,45790,723882
286488,90800,3645136,20928,45658,3356704,19890,46404,723500
201748,103622184,3696816,293174,119436,3349152,54116994,183172,726890
92524,39648,3648628,19890,46254,3353024,19890,46450,723916
91590,39678,3534064,20120,46518,3348444,19774,45204,723557
91710,39594,3704468,19570,45678,3351212,21300,46792,724452
96134,39836,3701560,20050,46386,3350420,20182,49796,722946
96002,39528,3584116,20280,50150,3355580,19896,46272,723666
94922,39330,3519008,19636,45270,3347332,19994,49664,723964
94934,39570,3601392,306332,125762,3353516,305710,120528,727303
95222,39604,3530644,19676,45366,3349568,19890,49616,723884
95066,39798,3636648,20576,50202,3379812,19558,45312,723374
95066,39430,3663048,19888,46518,3350960,20020,49616,724287
95438,39778,3602372,20190,48842,3350020,19876,46584,723374
137376,37856116,3711032,19988,46518,3342020,36588,54966,724740
95462,39294,3651912,21032,49134,3362168,19730,46536,724358
108066,43700,3316748,293184,119028,3354592,293328,122796,721780
95198,39638,3580348,33126,53072,3353936,32730,50010,723903
127728,24394912,3720740,19650,45318,3364376,36546,55902,727842
94790,39694,3667872,21856,50450,3359472,20046,45468,724406
96110,40042,3562216,19644,45186,3344992,20122,49748,726217
96306,40538,3640628,20406,49862,3357524,20720,45792,725055
95066,39838,3617876,19944,45714,3359628,20290,49796,722917
94934,39250,3576080,20128,49730,3382332,19506,45312,722796
109124,43330,3666472,19730,46386,3359288,19994,49796,723400
96000,39988,3473692,20258,50042,3357376,32996,49924,724464
91722,39890,3428852,20052,46434,3344808,19838,45384,722870
92646,39468,3521416,19854,46434,3357132,20118,46404,724018
91698,40002,3506588,19638,45366,3353724,20116,46272,728136
92778,39788,3535616,19918,46386,3348380,19906,46356,723151
95870,39648,3648232,265554,111120,3386556,72166,60400,724178
301444,189353264,3329364,20022,46566,3346684,189333686,255066,726226
91590,39310,3672980,19800,45318,3353404,20146,46488,723938
92446,39558,3707324,19886,46254,3341632,19540,45336,722778
97980,55800,3692036,19814,45894,3355316,19632,46272,724478
97464,55504,3714488,20108,46626,3352220,35780,45468,727916
98652,56020,3679380,19672,45318,3334364,19754,46764,723944
93106,39842,3475704,19726,46386,3352776,20832,45792,723575
100060,44366,3508292,37486,57750,3362376,37090,54136,724255
94802,39442,3469948,19894,46358,3355180,20158,49976,723852
94930,39890,3552996,21600,50292,3356472,19550,45202,723536
87994,56072,3729512,19540,45186,3357636,36396,49948,725262
94922,39566,3317020,20178,49598,3347932,19832,45336,724266
96266,40044,3525344,19998,46570,3353164,20418,49748,723274
94934,40074,3307724,20038,48662,3379796,20252,46404,723252
109124,43326,3478564,20112,46518,3350656,20162,48548,723406
96002,39836,3613932,33382,53204,3339532,32722,49794,723436
94934,39370,3523276,19776,45498,3360300,19990,49748,724797
95870,40436,3447556,20680,49910,3384616,19888,46452,726776
91854,39442,3600492,20026,46518,3355624,19548,45204,725142
93258,40486,3547220,21452,46490,3354592,21402,47576,723638
99606,56038,3664204,20826,46794,3351336,37228,46716,724761
98388,55722,3697888,19882,46386,3384032,19882,46272,723385
91986,39558,3333108,20138,46734,3366788,19804,45696,724704
91588,39046,3688940,19812,45810,3384636,19762,46582,724494
93054,39648,3623068,20154,46962,3350120,19758,46404,724100
92526,39252,3596568,20010,46486,3348856,19890,46764,724076
92766,39930,3485484,19786,45498,3348568,20360,46572,723939
91722,39530,3638352,20022,46386,3349036,20732,45792,723954
91590,39438,3601644,19678,45318,3344636,19760,46452,724480
91854,39418,3701916,19858,46386,3341148,19380,45204,724266
91708,39282,3627988,20938,45990,3347012,19844,46270,723986
92790,56122,3323172,19992,46518,3340504,36262,46584,722855
91842,39830,3307916,19808,45450,3352344,20022,46404,723468
95352,56130,3706724,19912,45448,3360720,20126,49616,725038
95066,39494,3538964,20250,49994,3354812,19508,45204,724622
107924,43252,3498592,19674,45186,3348940,20284,49616,724792
94934,39970,3538096,33532,53204,3354396,32526,48678,725678
101744,56578,3329172,19808,45186,3340752,36424,49748,725561
94934,39834,3571996,20540,49830,3344564,19678,45204,725737
96002,39580,3590348,19976,46698,3337996,19988,49748,725818
95052,39958,3512912,20490,49022,3351492,19648,46450,726471
95066,39698,3539144,20022,46254,3347772,20072,48728,725954
107340,55966,3669436,20310,52792,3332252,35920,49070,723680
107924,43140,3470348,20150,46650,3347756,19948,49232,724818
369296,112376,3464044,33336,52136,3349764,33022,50058,725470
95066,39246,3645968,19648,45582,3350100,20126,49616,724381
95066,39626,3640836,20250,49958,3352808,19508,45204,724937
103512,57108,3673980,19782,45630,3347416,36398,49748,725231
95186,39674,3340376,20154,49730,3351408,20732,45792,725276
96182,40086,3534444,20328,45762,3342780,20282,49616,726846
96002,39504,3649308,20124,50042,3357936,19502,45304,724885
382166,115440,3721068,19778,45318,3342860,19992,49976,723389
96944,40248,3308276,114366,75364,3376560,229230,101592,728606
91590,39550,3521444,19858,46254,3357252,19908,48548,724574
91458,39106,3507076,19512,45186,3344160,708924,65712,725240
92658,39744,3632348,20022,46698,3361100,19890,46536,725439
92790,39884,3496024,19786,46254,3348224,20314,46536,724464
92526,39388,3495904,20024,46386,3357372,19760,46452,725896
365568,111922,3636056,20054,46698,3343176,20054,46404,723956
92082,39962,3327448,214862,97032,3341112,215196,98226,725671
146404,43650172,3622032,20016,46698,3362416,36352,52234,728218
91458,38898,3580836,19540,45186,3354312,19622,46452,724559
92922,39380,3567428,20944,47286,3355516,19888,46404,728056
97190,40300,3495480,20120,49958,3345888,19724,46452,724553
107924,42848,3317792,19538,45186,3330840,20004,49700,722590
368106,111992,3465724,33288,53202,3317984,32666,48894,723308
96002,39588,3756396,215022,98016,3351964,215022,101726,725158
101874,56038,3525976,21400,50116,3344536,19752,46404,728890
96252,39996,3614592,20022,46384,3344388,20154,49796,724990
95066,39562,3568552,20020,49910,3333856,20008,46356,723469
95090,39596,3552372,20216,46722,3340708,21028,48888,727123
95870,39660,3335532,19814,48530,3347272,19764,46632,726161
382032,115340,3533992,19918,46386,3344792,20050,49614,725117
97972,40114,3768164,228568,105026,3350936,227718,102902,725776
95198,39982,3667484,19662,45318,3335164,20008,50060,723804
95492,39774,3696348,20582,50076,3362432,19444,45204,725878
95066,40206,3576328,20038,45186,3356120,20252,49748,728338
95306,40062,3495968,19988,50282,3345264,19642,45384,724084
96122,40244,3655748,20548,46578,3348092,20440,49616,725872
370092,112246,3649800,19990,49598,3342604,19726,46536,725426
104592,42704,3754428,214950,99652,3343616,214736,96918,727997
92250,39242,3668564,19514,45186,3332844,20168,46980,724062
95570,40178,3668928,19758,46386,3336608,20072,48812,726755
91706,39430,3652684,21234,46372,3340232,20204,46826,723984
94230,40176,3565308,19596,46254,3335120,19860,46848,724562
91842,39770,3532956,20388,46830,3350828,20702,45792,724984
364632,111792,3555964,32842,49104,3343208,20042,46488,725404
92526,39456,3669856,214890,97572,3339292,214758,97902,724196
92526,39376,3686628,19780,45318,3345960,19730,46272,724174
98824,40234,3509000,20218,46854,3345112,20148,52282,728762
96002,39508,3621844,19886,46518,3352232,19874,46356,725147
95870,40096,3528700,19892,46386,3346980,20288,49796,724981
95186,40106,3637176,20712,49730,3342748,19574,45204,723999
384712,115444,3664628,19892,46434,3355100,19916,52414,725036
102024,56070,3733016,228320,105314,3365436,244396,102114,725396
102022,56710,3712480,19792,46252,3355632,36458,49748,725292
96254,39872,3494604,20122,49778,3356432,19380,45336,724618
95066,39490,3617548,19786,46254,3357104,20050,49880,725255
95318,39526,3521860,19812,48662,3343492,19762,46404,724308
94802,39554,3697784,19728,46518,3349644,20882,49232,723527
95318,39786,3331460,20206,48974,3392256,19892,46584,728476
109726,43970,3341788,215200,97918,3355124,215596,101018,725337
96026,40162,3452436,33000,52028,3341760,32856,49614,723758
96120,39904,3529364,20054,46542,3341252,20318,49794,725419
95186,39742,3663292,20536,49862,3362748,19662,45336,725476
96504,40398,3558404,20146,45736,3351944,20108,49748,726119
95450,39654,3516540,19942,49286,3356132,20936,47124,725257
91588,39226,3506680,19852,46518,3350524,19506,45382,724786
92778,39568,3523424,214740,97332,3346648,215066,98382,725045
93042,39684,3486308,19986,46566,3351936,19842,46872,724946
91744,39212,3525700,19958,46720,3346772,19650,45204,724000
95198,39818,3704804,20124,49598,3354060,19646,45648,728455
95330,39514,3554484,19638,45426,3355620,20740,50288,724224
95066,39822,3604984,20534,50150,3346672,19804,45336,723790
382694,115420,3429940,20144,46386,3355320,20276,50324,724885
94934,39558,3666912,228100,103718,3353240,227786,101196,724628
95186,39750,3611724,20144,46518,3344756,20098,48772,725064
95868,39532,3659400,20162,49776,3349772,19766,46272,724131
103206,50944,3664832,19858,46386,3370764,20254,49614,723603
94934,40102,3644872,20308,49910,3360248,19566,45204,724484
96266,39904,3682856,20570,47006,3349240,20150,49928,727181
370232,113234,3301668,20380,49838,3339824,19984,46380,724439
109400,43338,3322032,215160,98676,3339452,215160,101330,723212
91722,39302,3683948,19890,46774,3352424,19664,45492,727522
91854,39426,3641648,19648,45318,3348648,19730,46404,724324
91590,39430,3578008,21460,47058,3345876,19806,45204,723809
91990,39870,3629360,19662,45334,3340912,20434,47078,726279
138468,34882776,3731444,19892,46254,3347024,1622874,61086,728174
369042,111934,3537360,33020,53070,3347436,32756,49746,724657
96122,39976,3545272,214994,97812,3348368,215402,101822,724681
94934,39890,3534028,20316,49778,3346884,19574,45384,724808
96002,39460,3695748,19862,46386,3354380,19994,49616,723798
94932,39950,3330984,20280,49730,3339140,19538,45202,723264
95066,39878,3548672,19940,45450,3349112,20154,49616,727962
95186,40278,3315456,20180,49598,3353432,19834,45336,725618
383108,116228,3507236,20600,46776,3347912,23952,53380,726118
94934,39606,3707824,229484,104190,3343052,227786,101856,724896
100916,55832,3580432,20008,46566,3349560,19794,48728,724487
95054,39614,3580140,19646,48530,3352060,19728,46272,727380
96132,39824,3564408,19888,46384,3346324,21404,49956,724865
96266,39616,3537340,20180,50354,3346472,19916,46716,725027
96134,40272,3522044,19890,46386,3355072,20286,49748,724404
362744,87815870,3548268,20144,52576,3336652,22455766,75778,728143
115278,59740,3693660,215008,98436,3355084,231290,107204,725087
94802,39470,3534004,32804,52004,3348576,32886,49878,724879
102272,56950,3338668,20316,46698,3347448,20184,49880,725834
96134,39852,3680316,20376,49682,3351992,19980,46800,727144
96252,40092,3590648,20046,46518,3342620,20046,49614,725379
97242,40580,3527052,20738,50010,3348152,20818,47124,724442
96134,39660,3667624,19764,46254,3358412,20280,50012,724825
94934,39510,3710600,21444,50070,3356164,19582,45384,724836
217746,109477498,3725836,19512,45186,3362340,49677644,106602,728248
213274,116097618,3700488,33506,53202,3361184,58377376,114376,726929
94802,39370,3301784,19924,46254,3360548,20962,49068,723972
96134,39972,3347780,20580,50022,3345692,19788,46272,723097
95186,39722,3665128,19778,45498,3355104,20256,50240,726078
94790,39646,3336388,20416,49730,3345504,19806,45204,724545
136104,31773752,3744424,19902,45534,3344532,13110290,70410,726633
96384,40370,3514948,20646,50190,3342564,19866,46762,724393
109256,43382,3544512,20044,46518,3357576,20308,49616,724867
95066,39162,3577836,33152,53516,3357688,32542,48810,725324
95590,55964,3655468,19542,45316,3346088,20380,50094,724842
95330,40094,3301420,20538,50126,3350588,20664,45644,725631
96266,39636,3564864,19860,46830,3352900,19992,50060,725051
96662,40128,3627764,20250,49842,3356260,20922,47256,725023
102154,56826,3329504,20408,46866,3354196,20180,49614,728378
95870,39760,3325484,19856,49778,3343196,19724,46452,723826
303222,94718,3731968,20124,46386,3354180,21364,50172,728007
95870,39952,3507760,202162,97822,3351080,306218,123404,724968
95196,56216,3714184,20110,46648,3347644,20386,49796,725731
95090,39640,3733648,20388,49862,3353276,19728,46272,725646
96002,40188,3319648,19896,46386,3356332,20424,49748,725528
96120,40056,3339512,20316,49730,3351416,19920,46450,724276
95870,39744,3766048,19878,46470,3341440,20022,49616,724341
292458,92034,3541964,20274,49910,3357788,19746,46270,724345
108872,43074,3687780,293040,118416,3360468,293040,122486,725216
91852,56012,3602728,20190,48762,3359016,19888,46450,725340
97308,40266,3643340,24118,50692,3349172,19954,48546,723840
91854,39366,3597468,21094,49118,3358780,19724,46536,724680
91974,55720,3718968,19658,46254,3357252,19576,45384,725154
227672,132969024,3634660,20208,49166,3342828,92647780,142930,728256
96678,40192,3689368,20010,46522,3354840,21142,49956,728229
96398,43068,3508624,150584,84618,3349716,19876,46824,724067
105976,59458,3344416,19848,46542,3352040,19646,45204,723266
95054,39578,3671220,19920,49778,3357336,19920,46452,725583
91456,39442,3578668,19894,46518,3356100,19812,45382,724526
91590,39114,3557204,19714,45318,3363760,19796,46404,725649
91722,39238,3497964,19644,45290,3344300,19858,46716,724224
129266,27977508,3736936,19990,46384,3385848,36578,51826,731352
92656,39376,3676408,19874,46468,3357292,20018,46404,727672
92974,39656,3628272,19754,46386,3347276,19754,46452,723648
93054,40044,3666472,19656,46434,3354672,19920,46404,724460
91458,38710,3723596,19726,46566,3350520,19512,45384,725436
91590,55556,3565136,19750,46226,3354604,36020,46404,725260
91458,39278,3311180,21174,47286,3353372,19760,45312,724862
91722,39434,3528424,19808,45630,3346068,19758,46272,725553
91722,55732,3698136,20108,46602,3342356,20698,45792,724177
95456,39780,3525288,20052,46518,3341748,19812,48938,725046
91842,39578,3332532,20292,47038,3342160,19682,45204,724108
91854,39458,3581352,19958,45402,3361572,19656,46536,725276
98008,56116,3733216,19890,46386,3362396,36342,51342,725288
91588,39222,3572940,19798,45714,3358728,19892,46270,725318
92178,39998,3648888,20664,47122,3382304,19646,45204,725309
96260,40628,3501920,20448,49908,3350172,24002,50530,725004
96122,39748,3687284,19766,46434,3344720,20030,49796,725518
95064,39702,3693500,33146,53180,3346896,32762,49744,724850
315952,97820,3584480,19898,45402,3350468,19992,49880,724655
