branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
4844204221854788,5577780.307,58.11%,476205122,0.00%,66.92%,998157845,1.149,75.00%,8630159370522226,64.790,75.02%,13320199729655690,15337327.730,75.02%,30958650331338704,35646.835,50.01%,95749269204,0.00,62.49%,102125658475,117.591,74.98%,114604,0.132,868433.639794,999.944,4737,0.005,0,0.000,0,0.000,900225,0.001,900334,0.001,868482.434776,48.117,18.049350533
2114104825025849,2702993.339,59.91%,476600509,0.00%,65.14%,986361334,1.261,75.01%,1313330136021274,25.921,75.01%,5066751267251736,6478105.893,75.00%,15765292607858488,20156.749,49.99%,96540346372,0.00,62.49%,102234361594,130.712,75.00%,112367,0.144,781905.026551,999.706,4866,0.006,0,0.000,0,0.000,910585,0.001,910673,0.001,782134.678144,48.140,16.246966702
1992667655602329,2294219.171,63.57%,427695520,0.00%,61.46%,991090668,1.141,74.99%,375251135117937,8.696,75.01%,4315407672602428,4968460.739,75.01%,8722440085176136,10042.412,50.02%,94077184094,0.00,62.50%,103524810732,119.191,74.98%,110992,0.128,868487.332757,999.916,4960,0.006,0,0.000,0,0.000,833297,0.959,833406,0.960,868560.284417,48.124,18.048257890
4349462382534885,4846114.487,61.48%,436285190,0.00%,61.22%,1001216932,1.116,75.01%,1876116041366189,76.912,75.02%,2439290359986890,2717825.633,75.00%,9949010786588888,11085.059,52.34%,98011111164,0.00,62.48%,104545720869,116.483,74.98%,108910,0.121,897279.648453,999.737,4551,0.005,0,0.000,0,0.000,684940,0.763,685036,0.763,897515.399972,48.125,18.649826452
1379170930309933,1401416.576,61.23%,414596683,0.00%,61.99%,1013558852,1.030,74.99%,2251890821221437,85.715,75.00%,2627182586018929,2669558.315,75.00%,10857699184417934,11032.831,51.85%,95655605204,0.00,62.50%,106328434223,108.043,74.99%,110457,0.112,983918.255934,999.789,4862,0.005,0,0.000,0,0.000,830816,0.844,830904,0.844,984126.314447,48.115,20.453416140
7748870364977394,9727833.506,61.75%,330798869,0.00%,63.29%,800997169,1.006,74.99%,3377284922645306,24.001,75.01%,14071484420669918,17665162.943,75.01%,33766667005222664,42390.245,50.02%,61576905045,0.00,62.49%,84342558935,105.883,74.98%,90323,0.113,796354.160986,999.733,3397,0.004,0,0.000,0,0.000,617557,0.775,617564,0.775,796566.919066,48.138,16.547589408
1929416023423578,1710051.267,65.65%,477860178,0.00%,59.39%,1088889482,0.965,74.99%,375305711722789,8.334,75.00%,4503187019266400,3991197.634,75.01%,10412135787587228,9228.329,50.01%,95866701312,0.00,62.50%,113766892926,100.832,74.99%,114257,0.101,1128124.609472,999.863,4416,0.004,0,0.000,0,0.000,835493,0.741,835587,0.741,1128279.637377,48.096,23.458677405
919567468128748,858809.932,61.22%,444350830,0.00%,61.48%,1016580925,0.949,75.00%,2251491372538353,47.996,75.01%,4690998523943766,4381055.511,75.00%,11293228878520278,10547.064,52.34%,97151387708,0.00,62.49%,105272735724,98.317,74.99%,111900,0.105,1070711.383994,999.967,4833,0.005,0,0.000,0,0.000,842322,0.787,842411,0.787,1070746.196274,48.110,22.256392435
1379101795162899,1443559.701,61.23%,418190495,0.00%,60.96%,1044284956,1.093,74.99%,1313536945798194,24.135,75.00%,5442510642004740,5696888.411,74.99%,8250503661213348,8636.124,52.88%,95650502658,0.00,62.51%,108131118917,113.185,74.99%,110128,0.115,955099.387363,999.740,4889,0.005,0,0.000,0,0.000,987906,0.001,987985,0.001,955347.945948,48.120,19.853265522
1189686044913135,1081874.847,59.15%,459969140,0.00%,61.22%,1061988490,0.966,75.00%,3377717093539877,94.723,75.00%,3565876616754682,3242731.337,74.99%,11321444828226976,10295.478,54.70%,96338055338,0.00,62.51%,111280290732,101.196,75.00%,114013,0.104,1099466.971158,999.832,4776,0.004,0,0.000,0,0.000,935332,0.851,935416,0.851,1099652.190100,48.103,22.860443674
5220844406069976,4568878.714,62.00%,447895455,0.00%,60.44%,1135893639,0.994,75.00%,6192417726926730,58.923,75.00%,10509303415367036,9196928.493,74.99%,34508204948454464,30198.909,52.61%,100202700578,0.00,62.51%,117595857436,102.911,75.00%,119187,0.104,1142495.966463,999.824,5291,0.005,0,0.000,0,0.000,1017959,0.891,1018066,0.891,1142697.088894,48.097,23.758130258
2170229138225996,2676458.031,64.85%,471353124,0.00%,58.61%,937261371,1.156,75.01%,187619149683669,3.225,75.01%,5816923647948508,7173782.592,75.00%,8736289791531856,10774.122,51.55%,95618217854,0.00,62.49%,99273165986,122.430,74.99%,109351,0.135,811041.971311,1000.226,5085,0.006,0,0.000,0,0.000,869206,0.001,869311,0.001,810858.647214,48.131,16.847011068
1154400746573384,1351217.952,60.96%,328122252,0.00%,60.69%,804803281,0.942,75.01%,562769881876071,11.536,75.02%,4878333187300656,5710054.676,75.01%,10282534457789714,12035.634,53.38%,61226703413,0.00,62.49%,82252692178,96.276,74.97%,84123,0.098,854353.372671,1000.015,3327,0.004,0,0.000,0,0.000,549523,0.643,549534,0.643,854340.888862,48.134,17.749256042
2712920318110733,2797814.733,62.25%,466014342,0.00%,62.78%,1083406568,1.117,75.01%,219551727,0.000,75.02%,4503378867869772,4644301.442,75.00%,11825829640640028,12195.891,49.98%,98168654442,0.00,62.48%,112898591946,116.431,74.98%,110081,0.114,969468.064377,999.805,4090,0.004,0,0.000,0,0.000,677561,0.699,677658,0.699,969656.884706,48.115,20.152950811
1622514265942662,1698920.614,60.72%,470003388,0.00%,61.48%,1024982549,1.073,74.99%,562985172105460,14.285,75.00%,3941004770932509,4126591.911,74.99%,13040808628093932,13654.918,52.88%,96476065107,0.00,62.51%,106524312924,111.541,74.98%,110857,0.116,954895.759830,999.863,4823,0.005,0,0.000,0,0.000,690411,0.723,690507,0.723,955026.534222,48.109,19.851118907
