branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
9842130408,342.956,75.97%,350828435,3.56%,75.15%,701520755,24.445,74.68%,2613202155016778,318.346,75.40%,820868416713602,28603719.747,51.43%,3513573199151582,122432.854,52.07%,50514154571,0.00,65.04%,72764613027,2535.533,76.88%,66689,0.002,28680.406844,999.388,6355,0.221,0,0.000,41,0.001,552718,0.019,552842,0.019,28697.960404,1.515,18.939173594
9460634419,374.607,76.20%,340728380,3.60%,76.30%,616162533,24.398,75.52%,3172730055258853,284.541,75.41%,1115035191835207,44151387.096,50.49%,2774182333476612,109847.652,50.73%,49161212951,0.00,63.63%,63830617247,2527.463,75.61%,64915,0.003,25238.062195,999.337,6181,0.245,0,0.000,40,0.002,461178,0.018,461274,0.018,25254.816783,1.485,17.008659033
9414894773,382.197,75.00%,335322749,3.56%,75.59%,601076163,24.401,75.97%,4053495660743496,736.784,76.38%,550160417501196,22333735.211,51.16%,1953239824428827,79291.675,50.44%,49194411803,0.00,63.06%,62295601640,2528.887,75.10%,63404,0.003,24616.856954,999.320,5856,0.238,0,0.000,39,0.002,471179,0.019,471269,0.019,24633.605275,1.924,12.802979234
9374833328,386.873,74.62%,338015096,3.61%,74.95%,587878447,24.260,75.98%,3309226544877499,623379449.400,76.55%,530852685,21.907,51.97%,3826955280642438,157927.627,51.49%,47819926145,0.00,63.82%,61479666184,2537.092,75.51%,63811,0.003,24215.654175,999.312,5771,0.238,0,0.000,40,0.002,450858,0.019,450950,0.019,24232.335749,1.899,12.759593841
10107984427,331.118,75.39%,355962397,3.52%,75.43%,744804986,24.398,75.56%,2779230387649013,143.441,75.96%,1937545202442126,63470300.953,50.85%,1935036542170651,63388.122,50.91%,52006499052,0.00,63.89%,77290496161,2531.890,75.81%,68611,0.002,30509.226592,999.424,6056,0.198,0,0.000,41,0.001,442698,0.015,442832,0.015,30526.800304,1.710,17.853004963
9422426716,395.182,75.75%,338463908,3.59%,75.53%,577656625,24.227,75.89%,2575664539967075,233.418,76.50%,1103456907748943,46279609.073,51.02%,3612767540867779,151521.521,50.64%,48958478607,0.00,63.44%,60577027426,2540.635,75.62%,63057,0.003,23826.542814,999.299,5570,0.234,0,0.000,40,0.002,464772,0.019,464865,0.019,23843.263369,1.751,13.619581576
9390748982,374.228,75.77%,339056469,3.61%,75.43%,611722418,24.378,75.21%,2069232251936475,188.852,74.82%,1095687370093878,43663897.360,51.38%,4016730387731924,160069.476,52.56%,48608492521,0.00,64.84%,63645120795,2536.302,76.72%,63964,0.003,25076.976629,999.335,6248,0.249,0,0.000,40,0.002,506314,0.020,506412,0.020,25093.668599,1.832,13.693682796
9989598174,369.467,74.72%,355613373,3.56%,74.99%,657477126,24.317,75.31%,3722675365052099,655911361.471,75.61%,567557689,20.991,52.34%,2959164366602455,109445.085,52.32%,50327091073,0.00,64.30%,68640362823,2538.673,75.62%,67497,0.002,27020.020920,999.339,6665,0.247,0,0.000,41,0.002,546694,0.020,546821,0.020,27037.891881,1.325,20.408530974
9606499794,363.942,75.39%,336790870,3.51%,76.03%,641618279,24.308,75.96%,2945603685391081,1063.420,76.45%,276993442934047,10493878.091,50.81%,3623428549731042,137273.349,50.49%,49997574221,0.00,62.72%,67039482291,2539.786,74.81%,64522,0.002,26378.657733,999.354,6222,0.236,0,0.000,40,0.002,510346,0.019,510468,0.019,26395.717629,1.490,17.720166040
9987087495,328.396,75.98%,352274836,3.53%,75.90%,742226989,24.406,75.77%,2980888120752324,213.647,75.54%,1395242574290713,45878406.929,50.43%,2211143339059490,72706.880,50.92%,51327562038,0.00,63.59%,77100520760,2535.222,75.71%,67657,0.002,30394.039130,999.418,6543,0.215,0,0.000,41,0.001,498215,0.016,498328,0.016,30411.748526,1.503,20.238696355
