workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
sort270,4136448,54751551,48545021,4228556949,14689539218,400.845,75.15%,498137288,3.39%,75.49%,895893826,24.447,76.05%,1298263474288757,138794880.364,75.88%,935382826,25.525,50.61%,5024733942665858,137113.761,50.42%,77579660658,0.00,63.05%,93275858668,2545.290,75.12%,86901,0.002,36625.804210,999.436,6517,0.178,0,0.000,148,0.004,499053,0.014,499340,0.014,36646.459879,3.157,11.607514104
sort271,4095588,54751551,48545021,4450578388,14302530739,399.492,75.53%,484854740,3.39%,75.39%,874753412,24.433,75.51%,1674526591661850,603.654,75.64%,277398228174897,7748170.979,50.73%,3857462418641874,107745.023,51.08%,75503670503,0.00,63.89%,90851702648,2537.632,75.68%,85581,0.002,35781.848045,999.444,5659,0.158,0,0.000,148,0.004,467284,0.013,467595,0.013,35801.769081,3.106,11.526910736
sort272,4236448,54751551,48545021,4245725915,14726824266,414.157,74.84%,500622110,3.40%,75.66%,868185129,24.416,75.71%,1486260123797927,180.063,75.75%,825410515271018,23212700.374,51.15%,3322655964194401,93441.767,50.83%,77006236039,0.00,63.13%,90418405294,2542.802,75.00%,85993,0.002,35537.777167,999.415,6329,0.178,0,0.000,147,0.004,504225,0.014,504537,0.014,35558.573624,3.047,11.671703367
sort273,4130616,54751551,48545021,4769770644,14950839210,378.007,74.99%,498455193,3.33%,75.22%,969152931,24.503,75.48%,1489480444743926,147990701.212,75.59%,1006468942,25.447,51.09%,4410185747101477,111504.132,51.06%,77982613737,0.00,63.54%,100657255680,2544.949,75.51%,86449,0.002,39531.147046,999.479,5840,0.148,0,0.000,149,0.004,507735,0.013,508071,0.013,39551.769710,3.405,11.617153535
sort274,4173376,54751551,48545021,4326090848,14618282780,402.841,74.86%,487140659,3.33%,75.29%,886853969,24.439,75.69%,1845087156569975,669.656,76.28%,275527554381365,7592804.485,51.08%,3625587986937412,99911.534,50.46%,77044089545,0.00,62.70%,92334730417,2544.499,74.87%,87149,0.002,36267.120055,999.425,6480,0.179,0,0.000,149,0.004,508915,0.014,509228,0.014,36287.982250,3.098,11.711696635
sort275,4222880,54751551,48545021,4309124908,14863944661,393.584,75.42%,497963545,3.35%,75.45%,924571121,24.482,75.45%,3723628670748767,366469451.215,75.59%,1016081602,26.905,50.69%,834097215322208,22086.146,50.62%,77838351619,0.00,63.32%,96120255404,2545.178,75.37%,86774,0.002,37744.820935,999.449,5937,0.157,0,0.000,148,0.004,511857,0.014,512154,0.014,37765.630223,3.252,11.614305534
sort276,4117252,54751551,48545021,4387321694,14340596419,397.213,75.74%,483887727,3.37%,75.63%,883510805,24.472,75.61%,2427027739583766,433.063,75.38%,560432698403280,15523162.896,50.22%,2207942583478067,61156.768,50.99%,75334614778,0.00,64.07%,91640729789,2538.314,75.89%,85949,0.002,36082.679156,999.437,6792,0.188,0,0.000,148,0.004,500969,0.014,501269,0.014,36102.996674,3.145,11.479387668
sort277,4232688,54751551,48545021,4590702581,14478479488,401.515,75.61%,486270185,3.36%,75.88%,880934918,24.430,75.59%,1863898238104972,668.060,75.51%,279001592746743,7737226.900,50.44%,3902364224538108,108219.731,50.49%,76084700813,0.00,63.20%,91577169684,2539.603,75.50%,84908,0.002,36038.810332,999.422,6671,0.185,0,0.000,148,0.004,470518,0.013,470837,0.013,36059.636914,3.113,11.583984670
sort278,4100296,54751551,48545021,4099141181,14474946187,394.338,75.80%,483228259,3.34%,75.46%,897522586,24.451,75.37%,1681113543229296,603.165,75.35%,278715149890987,7592985.393,50.50%,3298401100066115,89857.732,51.20%,75675158304,0.00,63.90%,93393465618,2544.301,76.07%,86639,0.002,36686.676557,999.448,6657,0.181,0,0.000,148,0.004,484082,0.013,484407,0.013,36706.925599,3.128,11.734702260
sort279,3981724,54751551,48545021,4309813327,14568664677,392.549,75.56%,495340606,3.40%,74.71%,906636786,24.429,74.68%,2613742675926442,276857732.286,75.38%,944074292,25.438,51.63%,2435165618018518,65614.980,52.02%,75602714006,0.00,64.21%,94494006014,2546.119,76.06%,84882,0.002,37091.739143,999.428,7192,0.194,0,0.000,148,0.004,431215,0.012,431544,0.012,37112.952093,3.191,11.628945475
sort280,4257784,54751551,48545021,4499480400,14365027040,391.921,75.34%,491121807,3.42%,75.56%,892629325,24.354,75.86%,1479658502108300,167880542.775,76.09%,881375815,24.047,50.71%,4456737178734783,121593.053,50.53%,76244066319,0.00,63.20%,93225552282,2543.470,75.24%,87571,0.002,36632.117678,999.433,5687,0.155,0,0.000,148,0.004,494407,0.013,494704,0.013,36652.893262,3.085,11.880833369
sort281,4201168,54751551,48545021,4011467427,14481650227,395.300,75.54%,486957158,3.36%,75.92%,896057765,24.459,76.11%,1105651417504577,392.062,76.37%,282009495316744,7697900.633,49.91%,4531343498072324,123690.275,49.69%,76581768043,0.00,62.41%,92899794867,2535.849,75.00%,86498,0.002,36613.730709,999.430,7372,0.201,0,0.000,148,0.004,495262,0.014,495558,0.014,36634.598025,3.113,11.766975653
sort282,4135692,54751551,48545021,4743979017,14632312867,406.800,75.31%,493803043,3.37%,75.25%,880797478,24.487,75.10%,2051049344102206,743.881,75.48%,275722781693187,7665508.274,51.04%,2475363162457920,68818.821,51.17%,77439209254,0.00,63.19%,91568779317,2545.750,75.15%,87501,0.002,35948.440372,999.421,6276,0.174,0,0.000,149,0.004,510647,0.014,510920,0.014,35969.275858,3.134,11.477175969
sort283,4249644,54751551,48545021,4338661730,14624363442,403.605,75.88%,502275911,3.43%,74.59%,884433024,24.409,74.65%,1677643044002621,181749820.600,75.50%,923050729,25.474,51.10%,3793845295371583,104702.897,51.94%,76413716177,0.00,64.47%,92160730041,2543.460,76.40%,86208,0.002,36214.318440,999.446,5809,0.160,0,0.000,148,0.004,496828,0.014,497153,0.014,36234.387083,3.159,11.469591996
sort284,4235124,54751551,48545021,4469114290,14241012567,396.960,76.00%,484377104,3.40%,75.69%,874525943,24.377,75.41%,3181240225981228,342584756.096,75.21%,928599469,25.884,50.54%,2194652007140772,61174.666,51.30%,75526553581,0.00,63.99%,91289809645,2544.651,76.00%,86229,0.002,35853.999376,999.410,6396,0.178,0,0.000,147,0.004,509866,0.014,510130,0.014,35875.177801,3.089,11.614723087
sort285,4077496,54751551,48545021,4128805175,14594433196,404.528,75.39%,499695245,3.42%,75.39%,883790761,24.497,75.16%,1676325690056032,178177364.886,75.56%,940818544,26.078,51.18%,4414168841380071,122351.751,51.01%,76883116640,0.00,63.72%,91818394173,2545.018,75.44%,87168,0.002,36056.487688,999.412,6968,0.193,0,0.000,148,0.004,474071,0.013,474383,0.013,36077.692473,3.036,11.884365904
sort286,4225376,54751551,48545021,4461319915,14691853447,406.347,74.96%,498341241,3.39%,75.30%,883533986,24.437,75.71%,2031914372804795,221880823.603,76.19%,915768357,25.328,50.90%,3612449307169738,99912.955,50.65%,77992224064,0.00,63.07%,91927207218,2542.518,75.15%,88520,0.002,36135.560083,999.436,6280,0.174,0,0.000,148,0.004,501336,0.014,501637,0.014,36155.965132,3.088,11.708836729
sort287,4046528,54751551,48545021,4825257566,14977840912,402.209,74.89%,501916716,3.35%,75.44%,910594069,24.453,75.64%,2397131153086482,433.666,76.32%,552759943839372,14843585.926,50.92%,2795739901573098,75075.638,50.34%,78771782919,0.00,62.49%,94676696410,2542.409,74.85%,86963,0.002,37217.792889,999.431,6672,0.179,0,0.000,147,0.004,538772,0.014,539050,0.014,37238.976256,3.134,11.882955663
sort288,4159712,54751551,48545021,4394420076,14842363280,376.916,75.47%,495483649,3.34%,75.20%,966050920,24.532,74.97%,1871886486316050,339.666,75.18%,551096747496727,13994879.934,51.08%,2738485009817129,69542.724,51.39%,77506659775,0.00,63.95%,100281738944,2546.614,76.00%,86648,0.002,39357.444555,999.466,6526,0.166,0,0.000,148,0.004,503615,0.013,503959,0.013,39378.454842,3.314,11.882243379
sort289,4210876,54751551,48545021,4148847731,14585572266,410.812,75.63%,492187052,3.37%,75.23%,866956312,24.418,75.21%,2041756031243201,737.399,75.82%,276886263993136,7798684.105,50.83%,3301102344025252,92977.723,51.16%,76163328562,0.00,63.70%,90392007154,2545.950,75.63%,86631,0.002,35483.364083,999.412,6067,0.171,0,0.000,148,0.004,490805,0.014,491117,0.014,35504.228697,3.093,11.477134030
sort290,4179552,54751551,48545021,4697412385,14575312018,396.663,75.65%,494484921,3.39%,75.78%,899031055,24.467,75.71%,2985515942210435,326242626.281,75.42%,915121355,24.905,50.28%,2499760462269626,68030.272,50.67%,76017333176,0.00,63.56%,93248113681,2537.721,75.65%,86819,0.002,36723.870103,999.430,6807,0.185,0,0.000,148,0.004,510664,0.014,510981,0.014,36744.825095,3.102,11.846491846
sort291,4220640,54751551,48545021,4639501874,14295221854,400.642,75.21%,483545080,3.38%,75.24%,870882866,24.408,75.63%,2229975974546986,248533988.314,75.73%,897251917,25.147,50.93%,3031907056423890,84973.001,51.06%,74944682576,0.00,63.55%,90776910859,2544.137,75.50%,86375,0.002,35659.655840,999.407,6608,0.185,0,0.000,148,0.004,500820,0.014,501105,0.014,35680.828311,3.083,11.574592289
sort292,4261584,54751551,48545021,4521434893,14451108257,375.811,75.51%,486098057,3.36%,75.73%,940566544,24.460,76.44%,920956649684457,325.012,76.41%,283360514768471,7368991.996,49.67%,5092729369631632,132440.054,49.74%,76788293565,0.00,62.80%,97642637132,2539.266,75.37%,88273,0.002,38431.635822,999.442,6565,0.171,0,0.000,148,0.004,519495,0.014,519775,0.014,38453.090315,3.217,11.954037093
sort293,4221312,54751551,48545021,4250922367,14436197287,395.694,75.68%,486669896,3.37%,75.75%,890724811,24.415,75.52%,2057091245513712,245.407,75.26%,838236590300878,22975933.852,50.37%,2202981615923335,60383.382,51.11%,75857494227,0.00,63.57%,92921906046,2546.975,75.63%,85388,0.002,36462.039945,999.419,7375,0.202,0,0.000,148,0.004,473174,0.013,473519,0.013,36483.243541,3.027,12.053279707
sort294,4068440,54751551,48545021,4272894170,14879606394,377.731,75.58%,497776807,3.35%,75.47%,963009755,24.447,75.18%,2620832211809097,473.696,75.18%,553273063273713,14045306.944,50.87%,1907870601023736,48432.917,51.64%,77051691045,0.00,64.14%,100505575648,2551.419,76.07%,86645,0.002,39370.985768,999.466,6924,0.176,0,0.000,147,0.004,511204,0.013,511510,0.013,39392.023647,3.378,11.659849806
sort295,4240140,54751551,48545021,4154099962,14528454971,403.543,75.71%,496007606,3.41%,75.59%,878631677,24.405,75.65%,2797349201801322,301713560.380,75.47%,927153953,25.753,50.41%,2201934926161644,61161.090,51.13%,76311877739,0.00,63.54%,91676238866,2546.405,75.66%,85220,0.002,35981.772636,999.432,6786,0.188,0,0.000,148,0.004,492154,0.014,492454,0.014,36002.218588,3.071,11.725131701
sort296,4181960,54751551,48545021,4557168790,14323044307,397.214,75.65%,491583911,3.43%,75.53%,882022846,24.461,75.28%,3187611857093109,571.574,75.06%,557690051522648,15466161.036,50.47%,1636627548662529,45387.837,51.60%,75642161003,0.00,64.23%,91744289056,2544.302,76.12%,87331,0.002,36037.562796,999.413,6668,0.185,0,0.000,147,0.004,492391,0.014,492684,0.014,36058.725253,3.009,11.982964287
sort297,4153788,54751551,48545021,4475025351,14956433289,408.251,74.73%,503686645,3.37%,74.95%,894641489,24.420,75.63%,2028260368429394,210447771.159,76.33%,963783250,26.307,51.54%,3056180808980572,83421.474,50.66%,79783398188,0.00,62.74%,93241288880,2545.113,74.92%,86574,0.002,36613.929707,999.413,7200,0.197,0,0.000,148,0.004,496871,0.014,497159,0.014,36635.420842,3.051,12.008313690
sort298,4085036,54751551,48545021,4350545862,14934687791,404.144,75.62%,509175556,3.41%,75.22%,906040479,24.518,75.19%,2611116901801884,314.206,75.46%,831020507363954,22488035.641,50.81%,1373338474279229,37163.565,51.24%,78476291014,0.00,63.89%,94186361931,2548.753,75.77%,85798,0.002,36933.816189,999.457,6052,0.164,0,0.000,148,0.004,502849,0.014,503150,0.014,36953.894979,3.144,11.753939665
sort299,4068128,54751551,48545021,4756164681,14601729668,392.036,75.78%,496829219,3.40%,75.91%,910929717,24.457,75.86%,2415834934350545,260886222.407,75.73%,926010930,24.862,50.05%,3065907990218148,82315.239,50.50%,77172782591,0.00,62.95%,94694625728,2542.415,75.28%,87961,0.002,37224.596121,999.427,6790,0.182,0,0.000,147,0.004,524973,0.014,525259,0.014,37245.934362,3.124,11.922547185
sort300,4114120,54751551,48545021,4635359455,14737129211,390.781,75.06%,495385091,3.36%,75.80%,922205031,24.454,76.11%,1111516714593403,199.095,75.97%,558284762902234,14803900.277,50.42%,4218393068336060,111858.095,50.05%,78327821491,0.00,62.56%,96001359321,2545.645,74.74%,86895,0.002,37691.556213,999.458,6309,0.167,0,0.000,148,0.004,499692,0.013,499987,0.013,37712.005110,3.214,11.734953856
sort301,4141708,54751551,48545021,4140265148,14656618263,410.942,75.29%,492496394,3.36%,75.28%,870683865,24.412,75.74%,2037577776365085,209033308.220,75.98%,974762249,27.330,50.55%,3348560467431498,93886.799,50.44%,77471764991,0.00,62.73%,90736247376,2544.059,75.00%,84816,0.002,35646.066980,999.443,6436,0.180,0,0.000,148,0.004,488000,0.014,488308,0.014,35665.935117,3.056,11.669180626
sort302,4139328,54751551,48545021,4179959750,14427683505,394.730,75.26%,486019607,3.37%,75.51%,893202763,24.437,75.88%,1665610331775304,599.540,76.05%,277814850166359,7600800.617,50.66%,3899820983193496,106696.103,50.52%,75945270568,0.00,63.33%,92885450479,2541.274,75.39%,86193,0.002,36529.758788,999.426,7270,0.199,0,0.000,148,0.004,517601,0.014,517894,0.014,36550.735136,3.095,11.809700949
sort303,3960604,54751551,48545021,4655853238,14866512228,383.548,75.01%,501122440,3.37%,75.15%,947647152,24.449,75.42%,1670659543487742,303.969,75.82%,549614883423794,14179779.771,51.21%,3583642725331656,92456.129,51.06%,78251246256,0.00,63.29%,98725315056,2547.062,75.36%,87087,0.002,38739.886533,999.469,5916,0.153,0,0.000,148,0.004,430944,0.011,431260,0.011,38760.466827,3.366,11.516609609
sort304,4094604,54751551,48545021,4740502227,14644312643,377.863,75.39%,493677764,3.37%,75.26%,947440057,24.447,75.58%,1112678557766335,402.137,75.89%,276691236766228,7139390.573,50.86%,4738554161400172,122267.656,50.49%,76748581195,0.00,62.90%,98469686321,2540.787,75.22%,87133,0.002,38734.352951,999.452,7225,0.186,0,0.000,148,0.004,521437,0.013,521719,0.013,38755.581998,3.226,12.015275241
sort305,4086212,54751551,48545021,4236690846,15154505640,390.093,75.76%,510308690,3.37%,75.46%,953148475,24.535,74.98%,2262748469122297,815.050,74.64%,277620765979449,7146244.929,50.69%,2995815428638236,77115.380,51.68%,79202371656,0.00,64.35%,98973280387,2547.674,76.21%,86918,0.002,38828.182596,999.477,6350,0.163,0,0.000,147,0.004,509619,0.013,509918,0.013,38848.481786,3.233,12.016478801
sort306,4164036,54751551,48545021,4807379147,14864598131,400.741,75.76%,501881598,3.38%,75.91%,909227962,24.512,75.91%,2978916007422459,262.884,75.59%,1133167125949737,30549517.454,49.68%,834605393169089,22500.469,50.59%,78740803827,0.00,63.69%,94346430620,2543.524,75.79%,87463,0.002,37071.395211,999.423,7120,0.192,0,0.000,148,0.004,524188,0.014,524502,0.014,37092.799507,3.066,12.098441211
sort307,4079656,54751551,48545021,4418130853,14415318512,394.198,75.92%,494075877,3.43%,75.60%,896993213,24.529,75.27%,2793944308415962,334.193,75.56%,836026541505452,22861778.303,50.50%,1384795531132702,37868.282,50.82%,76256595613,0.00,63.56%,93068734778,2545.035,75.89%,87732,0.002,36547.942732,999.431,6674,0.183,0,0.000,148,0.004,512500,0.014,512811,0.014,36568.745021,3.140,11.647245718
sort308,4186492,54751551,48545021,4034900461,14696583613,402.693,74.89%,495630140,3.37%,75.19%,891393658,24.425,75.61%,925848753274154,338.728,76.00%,273330959646522,7489398.208,51.49%,4701765696064580,128830.615,50.89%,76738413777,0.00,63.43%,92841332362,2543.897,75.47%,85914,0.002,36475.347771,999.442,6096,0.167,0,0.000,148,0.004,492508,0.013,492789,0.014,36495.717286,3.136,11.636356486
sort309,4156168,54751551,48545021,4516038633,14518333523,405.800,75.53%,494747696,3.41%,75.53%,875158211,24.461,75.31%,2434679441208563,258698326.116,75.15%,941126863,26.305,50.85%,2464400993037831,68882.091,51.40%,76384935054,0.00,63.69%,91123912774,2546.990,75.61%,86724,0.002,35756.167428,999.415,7080,0.198,0,0.000,148,0.004,500839,0.014,501154,0.014,35777.093168,3.041,11.763206398
sort310,4152376,54751551,48545021,4732360562,14599904827,381.384,75.76%,490558903,3.36%,75.36%,937243227,24.483,75.31%,2983496024647511,324207370.836,75.48%,920243120,24.039,50.38%,2205549433554545,57614.121,51.05%,76472440227,0.00,63.73%,97259841224,2540.655,75.93%,86713,0.002,38260.836026,999.463,6209,0.162,0,0.000,148,0.004,504966,0.013,505272,0.013,38281.403581,3.276,11.683770481
sort311,4263988,54751551,48545021,4096221877,14632630449,406.017,75.77%,496004016,3.39%,75.94%,882466785,24.486,75.91%,1294233210839755,130921513.967,76.12%,988556557,27.430,49.92%,4231321086752632,117408.040,49.89%,77787531917,0.00,63.28%,91265215676,2532.370,75.46%,86870,0.002,36018.794838,999.427,7061,0.196,0,0.000,151,0.004,530646,0.015,530930,0.015,36039.449137,3.027,11.906736097
sort312,4201684,54751551,48545021,4228501676,14740778858,393.065,75.48%,496223429,3.37%,75.32%,917315595,24.460,75.15%,3183878294205794,1158.084,75.15%,274926283874290,7330954.139,51.19%,1357653550479735,36202.053,51.83%,77238343283,0.00,64.22%,95341916535,2542.308,75.97%,87492,0.002,37481.107395,999.440,6727,0.179,0,0.000,148,0.004,490012,0.013,490296,0.013,37502.114823,3.154,11.889412285
sort313,4209884,54751551,48545021,4473470708,14419824759,396.263,75.75%,491830093,3.41%,75.45%,889904357,24.455,75.35%,1487784611444823,160461251.755,75.68%,927192450,25.480,50.52%,4696100530256690,129050.898,50.95%,76271121677,0.00,63.44%,92591705052,2544.461,75.66%,87418,0.002,36367.944355,999.407,7024,0.193,0,0.000,148,0.004,486340,0.013,486628,0.013,36389.522216,3.004,12.112821040
sort314,4062452,54751551,48545021,4247007780,14557466900,410.277,75.69%,498480666,3.42%,75.25%,866444340,24.419,75.37%,2603422807494744,469.421,75.68%,554603443068411,15630523.790,50.75%,1921883178767825,54164.901,51.26%,76114646226,0.00,63.99%,90371785476,2546.970,75.95%,87541,0.002,35460.813884,999.401,6699,0.189,0,0.000,148,0.004,515005,0.015,515330,0.015,35482.076641,2.974,11.928821994
sort315,4209900,54751551,48545021,4366490329,14485630945,385.948,75.55%,490198001,3.38%,75.41%,918955008,24.484,74.93%,1865132306657898,337.917,75.46%,551949940877018,14705874.952,51.00%,3574577071969589,95239.223,51.18%,76039049815,0.00,63.85%,95517508821,2544.920,75.59%,86603,0.002,37510.932676,999.422,7336,0.195,0,0.000,147,0.004,482173,0.013,482506,0.013,37532.614869,3.120,12.029644436
sort316,4055888,54751551,48545021,4460075724,14862380596,385.696,75.33%,496677676,3.34%,75.48%,943933192,24.496,75.83%,2037713674507953,212342157.525,75.97%,959636889,24.904,50.42%,3634264782139822,94313.380,50.34%,77923860464,0.00,62.90%,98021229817,2543.764,75.17%,87447,0.002,38512.505359,999.444,6609,0.172,0,0.000,148,0.004,516702,0.013,516995,0.013,38533.925680,3.217,11.978923304
sort317,4202676,54751551,48545021,4548411702,14791265030,387.298,75.72%,500188457,3.38%,75.37%,937891608,24.558,74.88%,2067655624391138,186.581,74.87%,1108179138297267,29016790.794,50.80%,2460937922762322,64437.705,51.47%,77433311789,0.00,63.98%,97321707185,2548.292,76.03%,87535,0.002,38169.734686,999.444,6561,0.172,0,0.000,148,0.004,526683,0.014,526980,0.014,38190.961439,3.173,12.034399149
sort318,4206136,54751551,48545021,4507987534,14742128549,397.401,75.16%,499730601,3.39%,74.62%,907340877,24.459,74.81%,2239431631705998,228711601.307,75.41%,979150869,26.395,51.63%,2963908790680451,79897.507,52.23%,76838664979,0.00,64.54%,94518403798,2547.914,76.22%,85150,0.002,37076.117602,999.454,6342,0.171,0,0.000,148,0.004,484910,0.013,485215,0.013,37096.386389,3.114,11.914632986
sort319,4120444,54751551,48545021,4562232522,14806055610,391.941,75.66%,500361553,3.38%,75.18%,924402179,24.470,75.03%,937315797562847,98993645.174,75.07%,946844412,25.065,50.84%,5144537040691556,136184.419,51.98%,76917826014,0.00,64.18%,96205087383,2546.708,76.26%,87065,0.002,37755.402030,999.448,6464,0.171,0,0.000,149,0.004,511714,0.014,511997,0.014,37776.252836,3.174,11.901286872
sort320,4235848,54751551,48545021,4364012079,14747140768,388.833,76.13%,495913534,3.36%,75.61%,928494140,24.481,75.07%,2619435980076025,938.186,75.22%,279202229167760,7361625.019,50.41%,2476607174188513,65299.813,51.15%,77116271714,0.00,63.87%,96573573425,2546.321,75.95%,86302,0.002,37905.960312,999.453,6526,0.172,0,0.000,148,0.004,517043,0.014,517333,0.014,37926.711622,3.288,11.535208800
sort321,3935068,54751551,48545021,4583042980,15132374164,376.803,75.59%,510503531,3.37%,75.88%,984138396,24.505,75.66%,1490013430259148,528.752,75.56%,281798175287660,7016897.352,49.94%,3634015376495496,90488.566,50.35%,78837596412,0.00,63.12%,102157478884,2543.766,75.37%,88964,0.002,40138.226160,999.459,7152,0.178,0,0.000,149,0.004,434723,0.011,435075,0.011,40159.939805,3.314,12.117100579
sort322,4187056,54751551,48545021,4293457805,14688443842,400.520,75.66%,493416912,3.36%,75.64%,898844351,24.509,75.72%,1303662297531113,77.484,75.57%,1682499414781960,45877926.501,50.19%,3047284562740016,83092.509,50.80%,77743955642,0.00,63.57%,93148783165,2539.955,75.66%,86181,0.002,36652.106446,999.419,7360,0.201,0,0.000,148,0.004,501763,0.014,502058,0.014,36673.397058,3.040,12.063638087
sort323,4084728,54751551,48545021,4800770485,14982921294,387.026,75.52%,500493261,3.34%,75.30%,949175113,24.518,75.38%,1858406131147766,665.643,75.73%,279189616174578,7211786.769,50.41%,3598420596872472,92951.315,50.85%,78296450474,0.00,63.37%,98706018606,2549.689,75.62%,87967,0.002,38691.289595,999.440,7394,0.191,0,0.000,149,0.004,537209,0.014,537531,0.014,38712.960479,3.274,11.824993363
sort324,4147156,54751551,48545021,4625748360,14912755706,396.053,75.16%,505909954,3.39%,74.64%,919933768,24.432,74.96%,2419234941288903,886.579,75.63%,272872997203316,7246965.771,51.58%,2179262346666781,57876.887,51.67%,78478849851,0.00,63.86%,95930799112,2547.732,75.58%,86362,0.002,37632.254762,999.438,7369,0.196,0,0.000,148,0.004,528951,0.014,529228,0.014,37653.413280,3.155,11.934628449
sort325,4097368,54751551,48545021,5008096207,14621739748,395.284,75.04%,494060494,3.38%,75.19%,903749570,24.432,75.21%,2803654307411357,341.388,75.30%,821251373012961,22201731.371,51.41%,1366923887370708,36953.457,51.48%,76574354540,0.00,63.80%,94171845178,2545.844,75.59%,87356,0.002,36969.710331,999.440,6668,0.180,0,0.000,148,0.004,542994,0.015,543265,0.015,36990.420219,3.160,11.704059190
sort326,4239640,54751551,48545021,4315520941,14675810912,399.803,75.90%,499767952,3.41%,75.42%,897731450,24.456,75.65%,2779239666092474,988.996,75.96%,281016399260492,7655540.624,50.08%,2216428800223114,60380.678,50.80%,77450125561,0.00,63.51%,93301869160,2541.760,75.86%,86161,0.002,36686.564623,999.427,6702,0.183,0,0.000,149,0.004,521837,0.014,522164,0.014,36707.583833,3.103,11.829989566
sort327,4273564,54751551,48545021,4393807709,14510520545,392.824,75.78%,492565930,3.39%,75.61%,905358855,24.510,75.79%,3159850297844721,320999504.281,75.72%,984378560,26.649,49.89%,2225241044517699,60240.918,50.60%,76541939098,0.00,63.48%,93802286773,2539.381,75.85%,86306,0.002,36917.924840,999.429,6792,0.184,0,0.000,148,0.004,519399,0.014,519679,0.014,36939.029691,3.043,12.141011841
sort328,4255316,54751551,48545021,4208556379,14539770770,402.408,75.82%,494573367,3.40%,75.50%,885398459,24.505,75.65%,2045806519056050,182.606,75.67%,1120341812237771,31007005.367,50.25%,2491016479874339,68942.318,50.85%,76965388160,0.00,63.81%,91904710022,2543.590,75.85%,85633,0.002,36110.916630,999.419,6811,0.189,0,0.000,148,0.004,509300,0.014,509609,0.014,36131.893389,3.091,11.689539667
sort329,4082600,54751551,48545021,4554720113,15028463455,385.768,75.23%,510410686,3.40%,75.49%,953634123,24.479,75.76%,1853676871817545,664.956,75.92%,278766678434403,7155701.647,50.49%,3884278732277681,99706.105,50.73%,78851423190,0.00,63.05%,99240302660,2547.413,75.06%,87821,0.002,38935.356541,999.437,7945,0.204,0,0.000,148,0.004,499338,0.013,499654,0.013,38957.280808,3.142,12.397737682
sort330,4079696,54751551,48545021,4381400698,14463833102,401.136,75.71%,487807543,3.37%,75.49%,879025596,24.379,75.55%,2600675052497902,933.982,75.76%,278450228984149,7722468.944,50.54%,2211259635118314,61326.521,50.92%,76662235465,0.00,63.36%,91860681160,2547.641,75.65%,86855,0.002,36036.368828,999.424,7037,0.195,0,0.000,148,0.004,460961,0.013,461294,0.013,36057.151022,3.014,11.964873545
sort331,4234504,54751551,48545021,4321553427,14737488540,407.652,75.32%,498685267,3.38%,75.32%,885113504,24.483,75.21%,1495424058885332,271.180,75.29%,551450267390027,15253605.450,51.04%,3819904307868486,105661.955,51.58%,76689281255,0.00,63.92%,92104043115,2547.680,76.01%,85065,0.002,36131.111556,999.419,7100,0.196,0,0.000,148,0.004,491408,0.014,491728,0.014,36152.126080,3.067,11.787985466
sort332,4100020,54751551,48545021,4978810949,14870366512,388.757,75.41%,494022179,3.32%,75.49%,935520353,24.457,75.35%,2241097716910121,403.537,75.36%,555363023168725,14518875.954,50.68%,2761848358991140,72203.103,50.96%,77967184426,0.00,63.49%,97419602562,2546.844,75.48%,88759,0.002,38229.569650,999.437,7318,0.191,0,0.000,149,0.004,539299,0.014,539594,0.014,38251.103248,3.110,12.299687000
sort333,4140700,54751551,48545021,4798169249,14545956305,380.913,75.45%,491373902,3.38%,75.43%,935731555,24.504,75.27%,2061618353425154,744.680,75.09%,276846027869775,7249722.602,50.84%,2460006430743519,64419.794,51.49%,75720370636,0.00,63.72%,97446783007,2551.823,75.76%,86788,0.002,38165.876241,999.444,7735,0.203,0,0.000,148,0.004,509691,0.013,509959,0.013,38187.120126,3.134,12.184317395
sort334,4237140,54751551,48545021,4639600147,14734081454,389.301,75.31%,501345925,3.40%,74.99%,927382542,24.503,75.22%,2420364208770066,261033845.221,75.59%,927222371,24.499,50.75%,2746146246970078,72558.062,51.25%,77341128372,0.00,63.60%,96324271129,2545.058,75.87%,85438,0.002,37826.593601,999.446,6385,0.169,0,0.000,148,0.004,461848,0.012,462157,0.012,37847.569064,3.144,12.036152830
sort335,4111932,54751551,48545021,4675162391,14634054960,374.147,75.15%,487070745,3.33%,74.91%,955153378,24.420,75.42%,2418216400492204,269542188.050,75.66%,897156923,22.937,51.16%,2742350342494854,70113.270,51.32%,75195426944,0.00,63.78%,99528834712,2544.639,75.64%,85982,0.002,39092.272237,999.466,6850,0.175,0,0.000,148,0.004,502965,0.013,503230,0.013,39113.142652,3.345,11.693577061
