workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
sort79,4159344,54751551,48545021,3903780148,14370330339,404.029,75.23%,482993509,3.36%,75.00%,869894803,24.458,75.35%,2236558456019556,240765490.540,75.51%,928936473,26.117,51.11%,3006600665789334,84531.998,51.49%,75188970097,0.00,63.71%,90507588580,2544.664,75.54%,85756,0.002,35547.293826,999.429,6245,0.176,0,0.000,150,0.004,476950,0.013,477218,0.013,35567.604484,3.076,11.561343467
sort80,4231208,54751551,48545021,4405314155,14717775836,406.738,75.15%,499891585,3.40%,74.93%,881188569,24.352,75.52%,2033728489203945,222552423.937,76.12%,913819968,25.254,51.22%,3025085111604429,83600.652,51.18%,77258854139,0.00,63.46%,92134376551,2546.207,75.41%,85206,0.002,36164.060683,999.423,6728,0.186,0,0.000,147,0.004,518582,0.014,518883,0.014,36184.946407,3.110,11.635613811
sort81,4074352,54751551,48545021,5004160884,14903551795,387.161,75.64%,503938995,3.38%,75.72%,943350590,24.506,75.58%,2432829471059224,869.779,75.20%,279706472050089,7266156.056,50.32%,2761618348794603,71740.742,50.96%,78276014299,0.00,63.78%,98003793557,2545.922,75.72%,86856,0.002,38473.461682,999.456,6688,0.174,0,0.000,148,0.004,538296,0.014,538576,0.014,38494.421247,3.209,11.997137607
sort82,4087380,54751551,48545021,4509156161,14991042432,399.886,75.00%,504659755,3.37%,75.02%,916299499,24.442,75.49%,2593986029691960,277464209.707,75.96%,934890317,24.938,51.31%,2482410882773909,66218.240,51.03%,78251919118,0.00,63.62%,95393062408,2544.607,75.44%,86566,0.002,37467.831346,999.453,6414,0.171,0,0.000,149,0.004,490664,0.013,490942,0.013,37488.324534,3.230,11.605101312
sort83,4231668,54751551,48545021,4228452834,14766553400,376.498,75.25%,500634378,3.39%,74.99%,960827362,24.498,75.12%,1488870871783335,180.130,75.62%,826552676651884,21074366.851,51.08%,3303376205428702,84225.197,51.13%,77611046125,0.00,63.24%,99972536550,2548.970,75.25%,87328,0.002,39199.716446,999.463,6868,0.175,0,0.000,148,0.004,535431,0.014,535726,0.014,39220.759632,3.243,12.095392453
sort84,4163088,54751551,48545021,4676929515,14374461815,396.355,75.69%,486794458,3.39%,75.18%,884644271,24.393,75.24%,2423624374030472,269783815.888,75.49%,898357956,24.771,50.98%,3011147260525569,83028.119,51.41%,75529017720,0.00,63.92%,92249158986,2543.640,75.87%,86946,0.002,36245.571556,999.420,6218,0.171,0,0.000,148,0.004,557695,0.015,557985,0.015,36266.596006,3.050,11.891009507
sort85,3909428,54751551,48545021,4559010898,14759123992,379.965,75.39%,498450753,3.38%,75.78%,952181573,24.513,75.62%,1304476991533297,466.727,75.52%,279494913163331,7195435.368,50.35%,4453880793837546,114662.593,50.56%,77469086056,0.00,63.00%,98862209364,2545.151,75.15%,87538,0.002,38822.373698,999.460,6448,0.166,0,0.000,148,0.004,423717,0.011,424041,0.011,38843.363725,3.194,12.162171873
sort86,4074972,54751551,48545021,4525435446,14564541898,400.472,76.00%,490211099,3.37%,75.77%,891079003,24.501,75.47%,1306646544080387,77.394,75.40%,1688315113746483,46422502.178,50.02%,3035979616711047,83478.356,50.99%,76091621367,0.00,63.76%,92675820074,2548.247,75.90%,88628,0.002,36347.642204,999.427,7180,0.197,0,0.000,148,0.004,514773,0.014,515042,0.014,36368.464312,3.096,11.747814279
sort87,4052640,54751551,48545021,4708662157,14234199267,371.172,75.32%,480530790,3.38%,75.00%,937900436,24.457,75.38%,1478812409236327,267.499,76.14%,552829144733509,14415608.755,50.92%,3889492293566051,101422.654,50.66%,74044264827,0.00,63.17%,97460061650,2541.375,75.12%,88910,0.002,38327.803911,999.438,7328,0.191,0,0.000,147,0.004,515015,0.013,515275,0.013,38349.344390,3.089,12.414482662
sort88,4080008,54751551,48545021,4406150191,14630912994,381.387,75.06%,487743354,3.33%,75.55%,937197159,24.430,75.77%,3158284253835936,334132906.991,75.75%,945217962,24.639,50.80%,1943896003910033,50671.890,50.68%,76794260204,0.00,62.95%,97927076968,2552.683,74.87%,87570,0.002,38341.287863,999.449,7062,0.184,0,0.000,148,0.004,510809,0.013,511108,0.013,38362.413345,3.149,12.183888885
sort89,4085516,54751551,48545021,4252763078,14896095186,394.287,75.70%,506313467,3.40%,75.22%,923126164,24.434,75.01%,1684747971948112,610.434,75.18%,275992015605524,7305280.810,50.99%,3542168145829549,93758.267,51.65%,78565948906,0.00,64.00%,96241035573,2547.421,75.77%,86741,0.002,37759.099557,999.452,6208,0.164,0,0.000,148,0.004,512919,0.014,513249,0.014,37779.795574,3.174,11.902023139
sort90,4069160,54751551,48545021,4074767521,14715557109,389.483,75.16%,496677395,3.38%,75.41%,923322420,24.438,75.17%,1490856105214914,157808868.638,75.52%,944722637,25.004,51.33%,4668319394141208,123558.324,51.25%,77127843034,0.00,63.46%,96335625997,2549.755,75.24%,86476,0.002,37762.158608,999.467,6802,0.180,0,0.000,149,0.004,504387,0.013,504701,0.013,37782.313960,3.220,11.731882384
sort91,4079336,54751551,48545021,4533997835,14551209148,392.638,76.60%,490111755,3.37%,76.50%,906259101,24.454,76.02%,1501349779318357,263.271,74.99%,570267459689561,15387649.477,49.36%,3623668892289081,97778.237,50.49%,76372015340,0.00,63.83%,93950183146,2535.078,76.07%,86751,0.002,37039.353248,999.441,6833,0.184,0,0.000,148,0.004,501650,0.014,501927,0.014,37060.076039,3.151,11.762166652
