workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUs,duration(s)
svm70,5386996,48580835268,0,23248264016,22578548444,256.881,75.28%,699739609,3.10%,75.33%,2162768772,24.606,75.37%,3546847578555861,152025549.955,75.39%,2333060186,26.544,50.13%,1118891271411279,12729.856,50.32%,170807365005,0.00,62.79%,224848130497,2558.143,75.14%,142562,0.002,87856.774163,999.565,15522,0.177,0,0.000,148,0.002,1083360,0.012,1083651,0.012,87895.046130,3.977,22.100952077
svm71,5300848,48580835268,0,23204523390,23440142519,238.359,75.01%,710186873,3.03%,75.35%,2422242043,24.631,75.42%,1678339000866765,598.924,75.47%,280225862966708,2849567.971,50.22%,3653419620792209,37150.988,50.08%,175264279908,0.00,62.61%,251963361005,2562.172,75.06%,143481,0.001,98299.698716,999.593,17500,0.178,0,0.000,150,0.002,1786905,0.018,1787206,0.018,98339.771451,3.823,25.722883003
svm72,5293344,48580835268,0,23838851240,23336963358,216.079,75.49%,695591621,2.98%,75.39%,2662830506,24.655,75.23%,2061889650139484,732.201,75.08%,281601477378614,2607377.731,49.98%,2794895888655866,25878.235,50.36%,172709670751,0.00,62.98%,276655152460,2561.579,75.38%,150483,0.001,107959.152304,999.605,18759,0.174,0,0.000,148,0.001,1912691,0.018,1913000,0.018,108001.795859,3.633,29.727253077
svm73,4774604,54019603512,0,54551496171,33523446137,202.146,75.18%,800103934,2.39%,75.18%,4093669414,24.685,75.10%,3183911352780918,79011035.407,75.14%,4029704631,24.299,50.10%,1964553371415710,11846.236,50.16%,379777246702,0.00,62.69%,425706375383,2567.005,75.10%,176105,0.001,165785.771109,999.686,24620,0.148,0,0.000,148,0.001,2544895,0.015,2545245,0.015,165837.769155,2.980,55.649736351
svm74,7815760,48580835268,0,23931198312,23870477856,250.210,75.07%,699024483,2.93%,75.13%,2347210346,24.603,75.31%,1118154078205628,399.657,75.52%,279778617026474,2932639.490,50.30%,4763535517368916,49931.380,50.23%,177821082877,0.00,62.70%,244270973281,2560.448,75.12%,141470,0.001,95361.123963,999.575,20236,0.212,0,0.000,148,0.002,3046545,0.032,3046875,0.032,95401.640042,3.076,31.017000760
svm75,4646216,48580835268,0,22822224558,23982221669,248.167,75.17%,711479472,2.97%,75.10%,2379944800,24.628,75.02%,2061946594884426,86550590.203,75.08%,2382359947,24.653,50.47%,3332183114356790,34481.301,50.69%,175337155441,0.00,63.18%,247525131011,2561.380,75.40%,145930,0.002,96596.630312,999.578,17214,0.178,0,0.000,148,0.002,807176,0.008,807503,0.008,96637.395786,4.327,22.334015033
svm76,5849596,48580835268,0,24099590313,22813193582,272.946,74.99%,706569798,3.10%,75.29%,2056322775,24.603,75.46%,2798372939490866,1000.597,75.44%,279670367678197,3346090.334,50.32%,2235952637746492,26751.849,50.36%,173359947049,0.00,62.89%,213888564601,2559.050,75.11%,141459,0.002,83541.509605,999.525,18918,0.226,0,0.000,148,0.002,2020502,0.024,2020786,0.024,83581.236528,3.567,23.431498862
svm77,5805452,48580835268,0,23303175140,21999843517,275.309,75.57%,689367263,3.13%,75.55%,1961527086,24.547,75.37%,3174564308508199,137477561.606,75.37%,2309150869,28.897,50.05%,1679504839090422,21017.575,50.28%,168633044646,0.00,62.94%,204357961173,2557.366,75.30%,137866,0.002,79871.241696,999.521,16282,0.204,0,0.000,148,0.002,959551,0.012,959872,0.012,79909.544052,3.656,21.854568235
svm78,5314996,48580835268,0,23443893671,22486491115,260.507,75.35%,701707545,3.12%,75.36%,2123600726,24.602,75.31%,2059126038315491,146.729,75.18%,1403351812512832,16257913.795,50.14%,2228444137532008,25816.657,50.53%,170993396745,0.00,63.10%,220602249026,2555.690,75.35%,141098,0.002,86277.374209,999.528,16948,0.196,0,0.000,148,0.002,974365,0.011,974703,0.011,86318.074396,3.674,23.496331418
svm79,5834528,48580835268,0,23626554199,23355315779,242.078,74.98%,713360093,3.05%,74.81%,2372683875,24.593,75.06%,2426308881790861,290.956,75.41%,833909180727340,8643475.534,50.63%,2224001571227463,23051.795,50.63%,174174913137,0.00,62.95%,247157415821,2561.789,75.11%,143096,0.001,96437.006180,999.570,19043,0.197,0,0.000,148,0.002,2385952,0.025,2386248,0.025,96478.456780,3.459,27.891905021
svm80,8504328,48580835268,0,23701167428,23684872983,243.085,75.40%,704186770,2.97%,75.40%,2397423031,24.606,75.40%,2247188638317312,91595257.479,75.15%,2453389728,25.180,50.04%,3077141554332824,31581.676,50.31%,178128227829,0.00,62.91%,249482767227,2560.520,75.17%,143016,0.001,97393.099299,999.576,19263,0.198,0,0.000,148,0.002,4080999,0.042,4081308,0.042,97434.395750,3.052,31.923738616
