workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUs,duration(s)
svm134,5357944,48580835268,0,23653128815,23154356740,239.144,75.18%,694142636,3.00%,75.06%,2386202835,24.645,75.13%,1685439862852924,603.026,75.15%,279497136803433,2886714.651,50.35%,4156335954324036,42927.652,50.79%,172146445772,0.00,63.24%,247790617152,2559.242,75.52%,144364,0.001,96782.246863,999.591,16056,0.166,0,0.000,147,0.002,1880623,0.019,1880947,0.019,96821.879047,3.782,25.599255263
svm135,6585496,48580835268,0,24513647291,22762688442,262.830,75.41%,698538375,3.07%,75.35%,2130908742,24.605,75.30%,1683112684781888,299.035,75.26%,562848075415504,6498935.107,50.01%,3620233146837594,41801.085,50.54%,172838443221,0.00,63.28%,221096911707,2552.899,75.64%,142035,0.002,86565.872369,999.534,17472,0.202,0,0.000,148,0.002,3091648,0.036,3091955,0.036,86606.200269,3.172,27.301342402
svm136,7096592,48580835268,0,23851924599,23311198177,288.690,74.97%,703001570,3.02%,75.19%,1984661225,24.578,75.42%,1488974482843047,63096860.112,75.62%,2359823421,29.224,50.46%,4761880962371188,58971.895,50.25%,175055698728,0.00,62.78%,206419424494,2556.331,74.95%,136465,0.002,80710.502651,999.532,15851,0.196,0,0.000,148,0.002,1501028,0.019,1501357,0.019,80748.311589,3.683,21.926986759
svm137,7569768,48580835268,0,23871603528,23377412296,247.380,75.26%,697652176,2.98%,75.29%,2325996079,24.614,75.29%,2051778930583116,732.087,75.45%,280264254209624,2965755.347,50.22%,3361617885223186,35572.629,50.24%,175268191589,0.00,62.90%,241602113846,2556.633,75.21%,141566,0.001,94458.618398,999.561,18518,0.196,0,0.000,148,0.002,4275270,0.045,4275583,0.045,94500.126070,2.940,32.141524289
svm138,6577192,48580835268,0,23578966828,22223865368,284.773,75.72%,698208434,3.14%,75.36%,1919057363,24.591,75.24%,2252379373740524,95209178.698,74.98%,2365716630,30.314,49.90%,3051833161790031,39105.735,50.73%,170187856824,0.00,63.64%,198986520569,2549.784,75.81%,137901,0.002,78002.589107,999.514,16675,0.214,0,0.000,150,0.002,1797335,0.023,1797696,0.023,78040.551699,3.404,22.928528507
svm139,4815292,48695641874,0,23740826374,33210118006,158.274,75.08%,872231313,2.63%,75.07%,5189129514,24.730,75.14%,1498662961081346,45157097.309,75.13%,3318776118,15.817,50.16%,3644545515861600,17369.255,50.21%,221842730517,0.00,62.72%,539729070016,2572.253,75.16%,185478,0.884,209773.734853,999.744,18313,0.087,0,0.000,148,0.001,1400724,0.007,1401112,0.007,209827.397803,6.059,34.633028940
svm140,6870388,48580835268,0,23810293886,22613972877,285.080,75.59%,697183283,3.08%,75.33%,1953722596,24.629,75.03%,3191483707484976,569.124,74.97%,560771441930618,7069299.055,50.19%,1387172483105968,17487.226,50.73%,172428305617,0.00,63.40%,202687604069,2555.157,75.69%,138515,0.002,79286.347440,999.514,16639,0.210,0,0.000,148,0.002,1500923,0.019,1501252,0.019,79324.900190,3.638,21.803375012
svm141,6110792,48580835268,0,23279360016,23651794915,232.298,75.08%,707343219,2.99%,75.34%,2506346157,24.616,75.42%,1492624259032009,61564517.196,75.43%,2424487882,23.812,50.26%,3937302077232444,38670.589,50.05%,176571645471,0.00,62.52%,260978257270,2563.223,74.95%,145259,0.001,101774.959253,999.593,19295,0.190,0,0.000,148,0.001,3224350,0.032,3224687,0.032,101816.448353,3.303,30.822831737
svm142,5727384,48580835268,0,23659054939,23335960263,222.294,75.33%,693380074,2.97%,75.29%,2587044341,24.644,75.39%,1502169333491957,266.624,74.95%,563402994598552,5366883.763,49.96%,3896677155842075,37119.102,50.57%,172680889587,0.00,63.01%,269073035918,2563.145,75.39%,149450,0.001,104937.236607,999.615,17467,0.166,0,0.000,148,0.001,1487881,0.014,1488225,0.014,104977.677829,3.672,28.589073996
svm143,6586560,48580835268,0,24044424987,23101059325,250.003,75.67%,698935412,3.03%,75.50%,2275946249,24.631,75.24%,1122315838460053,132.410,75.24%,847607629076030,9172949.174,49.81%,3925355579208707,42480.844,50.20%,173048349711,0.00,62.76%,236281692730,2557.079,75.28%,143867,0.002,92363.041366,999.568,17572,0.190,0,0.000,148,0.002,3339647,0.036,3339985,0.036,92402.957104,3.202,28.859280731
svm144,7591264,48580835268,0,23911440835,23281571593,226.045,75.39%,699826513,3.01%,75.40%,2536796733,24.630,75.16%,2437761820586892,102007315.584,75.05%,2389791170,23.203,50.10%,2514040179922571,24409.261,50.39%,173637658764,0.00,63.01%,264066700664,2563.870,75.24%,148164,0.001,102952.791384,999.587,20227,0.196,0,0.000,148,0.001,2835861,0.028,2836194,0.028,102995.343398,3.228,31.909286734
svm145,5879768,48580835268,0,23940424227,22895165516,256.215,75.12%,696836671,3.04%,75.13%,2198156837,24.599,75.23%,1869191660604448,334.955,75.29%,558041855691112,6244928.295,50.44%,3063092911257970,34278.424,50.54%,172473068364,0.00,63.17%,228720794314,2559.566,75.40%,140199,0.002,89319.894076,999.560,16754,0.187,0,0.000,148,0.002,1579250,0.018,1579595,0.018,89359.209478,3.570,25.031247393
svm146,7786748,48580835268,0,24412564642,23383166999,242.055,75.32%,704482714,3.01%,75.38%,2380603672,24.643,75.33%,1867401173685005,76919858.833,75.37%,2427723090,25.131,50.04%,3653416005099163,37819.032,50.08%,176413956496,0.00,62.70%,247259094787,2559.550,75.06%,143561,0.001,96561.068714,999.570,19805,0.205,0,0.000,148,0.002,3827752,0.040,3828059,0.040,96602.577519,2.978,32.433725951
svm147,6474660,48580835268,0,23972892500,23900238115,237.718,74.88%,708835015,2.97%,74.93%,2475780353,24.625,75.20%,1868144235975344,77406175.498,75.34%,2413430484,24.005,50.60%,3617051051358917,35976.159,50.59%,176351524543,0.00,62.93%,257769667060,2563.846,75.03%,144725,0.001,100499.657782,999.597,19411,0.193,0,0.000,148,0.001,3099128,0.031,3099439,0.031,100540.222042,3.143,31.983576128
svm148,5286832,48580835268,0,23388026199,22910638853,235.613,75.35%,696977705,3.04%,75.25%,2394973208,24.630,75.22%,1310770685759935,466.612,75.16%,280912308538608,2888898.476,50.10%,4463870331232632,45906.384,50.45%,171750133928,0.00,63.12%,248630974580,2556.918,75.45%,144558,0.001,97198.178050,999.585,17219,0.177,0,0.000,149,0.002,1231936,0.013,1232272,0.013,97238.553322,3.866,25.152497775
svm149,5358192,48580835268,0,23616594134,23123211339,237.341,74.85%,695397320,3.01%,74.91%,2399816851,24.632,75.28%,2050329516005595,85755541.351,75.51%,2390900324,24.541,50.58%,3901033287998708,40040.877,50.51%,171268438007,0.00,62.91%,249616369566,2562.105,75.12%,147323,0.002,97385.833829,999.585,16648,0.171,0,0.000,148,0.002,1936222,0.020,1936538,0.020,97426.269100,3.714,26.230383186
svm150,5148056,48580835268,0,23437909394,24412017538,219.475,75.11%,711156093,2.91%,75.48%,2741525596,24.648,75.41%,747616450504076,266.081,75.30%,280973520643892,2526082.434,50.09%,5348051609583318,48081.468,50.00%,177657312511,0.00,62.54%,285108151260,2563.255,75.00%,153301,0.001,111187.581009,999.628,18339,0.165,0,0.000,148,0.001,1265614,0.011,1265965,0.011,111228.959470,4.034,27.570579644
svm151,6383052,48580835268,0,23489650512,24061704378,260.729,75.10%,718871578,2.99%,75.05%,2267386981,24.569,75.22%,2993023547309003,124068104.196,75.23%,2412403709,26.140,50.57%,2220198360250710,24057.698,50.72%,177051731763,0.00,63.18%,236191524861,2559.332,75.33%,141954,0.002,92247.156625,999.575,17107,0.185,0,0.000,148,0.002,1320953,0.014,1321228,0.014,92286.399537,3.751,24.602776612
svm152,7419140,48580835268,0,23897451988,23026236557,274.659,75.21%,702497712,3.05%,75.42%,2060485143,24.578,75.46%,932192709946373,166.610,75.49%,559504574800289,6673813.429,50.31%,4211838604991219,50239.134,50.12%,174700433566,0.00,62.84%,213999278366,2552.600,75.08%,139552,0.002,83796.308689,999.529,17028,0.203,0,0.000,148,0.002,2903011,0.035,2903333,0.035,83835.813023,3.253,25.767989854
svm153,5342100,48580835268,0,22727975863,23458410974,232.743,75.31%,699578767,2.98%,75.28%,2484738720,24.652,75.12%,2247665226950512,402.573,75.14%,558325168133315,5539442.715,50.41%,2511561551594758,24918.546,50.44%,173221476081,0.00,62.97%,258077820225,2560.528,75.32%,146361,0.001,100749.346197,999.588,17645,0.175,0,0.000,150,0.001,1544354,0.015,1544699,0.015,100790.855117,3.908,25.788966429
svm154,5589784,48580835268,0,23275183536,23037355222,237.600,75.19%,696598584,3.02%,75.23%,2386302353,24.612,75.25%,1308519436965250,55231251.146,75.29%,2369164938,24.435,50.36%,4195423659335162,43270.337,50.32%,172133595154,0.00,62.99%,247904756676,2556.815,75.35%,144123,0.001,96917.524744,999.578,18581,0.192,0,0.000,148,0.002,1634208,0.017,1634556,0.017,96958.424111,3.541,27.384795690
svm155,5888360,48580835268,0,23697851065,22994242847,281.575,75.57%,704058555,3.06%,75.59%,2008149948,24.591,75.24%,1866931593127986,165.714,75.38%,1126596661268311,13795702.631,49.97%,3085558159544210,37784.102,50.18%,173035100129,0.00,62.87%,208673092098,2555.300,75.33%,141383,0.002,81623.744920,999.521,16837,0.206,0,0.000,147,0.002,1571554,0.019,1571895,0.019,81662.869327,3.558,22.950135453
svm156,6244340,48580835268,0,23708274907,22603502624,241.698,75.55%,693757740,3.07%,75.37%,2303170535,24.628,75.17%,3001670397845979,127133852.407,75.02%,2361031575,25.246,50.05%,1670237998311549,17859.769,50.56%,170436057795,0.00,63.16%,239264450229,2558.442,75.52%,141656,0.002,93480.075158,999.578,16686,0.178,0,0.000,148,0.002,1910469,0.020,1910815,0.020,93519.574153,3.287,28.448173038
svm157,6195904,48580835268,0,24531055650,23761405089,238.069,75.30%,712251538,3.00%,75.25%,2459624675,24.643,75.20%,1683119705214144,599.566,75.26%,280723089010557,2812606.118,50.13%,3633537022937846,36404.944,50.36%,176600199130,0.00,62.94%,255531027508,2560.203,75.29%,145064,0.001,99768.077259,999.591,19583,0.196,0,0.000,148,0.001,3254138,0.033,3254432,0.033,99808.888003,3.231,30.886598846
svm158,7490420,48580835268,0,23484773479,22929575025,252.506,74.87%,701247629,3.06%,75.09%,2235109801,24.614,75.37%,2801509419058176,1005.212,75.35%,278698298069853,3069096.998,50.50%,2231728850238185,24576.369,50.45%,172340495896,0.00,62.89%,232340101325,2558.589,75.27%,142129,0.002,90767.663324,999.557,18993,0.209,0,0.000,149,0.002,2342265,0.026,2342615,0.026,90807.914606,3.140,28.922054725
svm159,7664740,48580835268,0,23992631401,24074103044,243.588,74.99%,703834257,2.92%,75.17%,2433607963,24.624,75.19%,2993297928021260,122263546.261,75.23%,2448234179,24.772,50.51%,2228990604824197,22553.468,50.52%,178379449020,0.00,62.99%,253066926738,2560.593,75.23%,142947,0.001,98790.551264,999.587,18805,0.190,0,0.000,150,0.002,4272199,0.043,4272533,0.043,98831.391590,2.925,33.789065553
svm160,5746232,48580835268,0,24074063987,22355332169,255.506,75.14%,698361578,3.12%,75.17%,2152632801,24.603,75.26%,2243376922440493,94189323.974,75.28%,2381774099,27.222,50.32%,3350334167297374,38291.989,50.41%,170072765097,0.00,62.92%,223772615429,2557.565,75.16%,141308,0.002,87454.089668,999.539,17712,0.202,0,0.000,150,0.002,1822962,0.021,1823266,0.021,87494.387953,3.452,25.343317805
svm161,6283652,48580835268,0,24065805491,23074824264,265.555,75.38%,711112098,3.08%,75.49%,2137450913,24.599,75.36%,2616828357775123,932.771,75.29%,280543628460261,3228615.718,50.17%,2525086583384076,29059.773,50.17%,173985345187,0.00,62.88%,222059371704,2555.554,75.05%,139649,0.002,86852.874636,999.540,18279,0.210,0,0.000,148,0.002,2280553,0.026,2280865,0.026,86892.852208,3.421,25.401240705
svm162,4994680,48580835268,0,22981934689,23723580257,243.590,75.09%,707322557,2.98%,75.21%,2398870829,24.631,75.29%,2428606311222842,868.033,75.33%,279782731398327,2872763.320,50.30%,2509672404747973,25768.906,50.47%,173820686619,0.00,62.98%,249186855486,2558.610,75.25%,146473,0.002,97352.336440,999.598,15753,0.162,0,0.000,148,0.002,949887,0.010,950190,0.010,97391.500884,4.235,22.998828962
svm163,6266428,48580835268,0,24102759292,23774592864,223.703,75.14%,698545723,2.94%,74.92%,2616760278,24.622,75.00%,2996053143090793,125078188.109,75.16%,2395344215,22.539,50.55%,1943322806136543,18285.383,50.70%,174102887139,0.00,63.17%,272364645290,2562.771,75.38%,150081,0.001,106235.812292,999.609,17563,0.165,0,0.000,147,0.001,1790014,0.017,1790359,0.017,106277.391147,3.788,28.056553581
svm164,4956828,48580835268,0,22806036941,23742764317,230.845,75.40%,717210336,3.02%,75.47%,2535078617,24.648,75.32%,2622799900928682,929.483,75.12%,282178272040606,2743543.329,49.88%,2244595965067787,21823.602,50.17%,175153631806,0.00,62.89%,263462022455,2561.570,75.29%,147785,0.001,102810.875805,999.602,17082,0.166,0,0.000,148,0.001,1152245,0.011,1152597,0.011,102851.764370,4.074,25.245374598
svm165,5721128,48580835268,0,23562277680,22290031576,292.288,75.09%,711880675,3.19%,75.53%,1870401117,24.526,75.49%,2240051227278914,802.407,75.39%,279166343383097,3660692.000,50.41%,3076987040429554,40348.352,50.32%,171598326706,0.00,62.87%,194737392785,2553.580,75.16%,137209,0.002,76222.973925,999.507,16436,0.216,0,0.000,148,0.002,1310045,0.017,1310334,0.017,76260.538540,3.761,20.274601581
svm166,4809596,59367723138,0,84613376428,48902825032,162.385,75.01%,899088029,1.84%,74.99%,7451532153,24.743,75.12%,2621726298363730,43977845.095,75.15%,5961470583,19.795,50.10%,3088540406908428,10255.698,50.14%,599822559999,0.00,62.57%,774604989915,2572.126,75.02%,224212,0.745,301090.341918,999.790,29934,0.099,0,0.000,148,0.000,3463050,0.011,3463559,0.012,301153.614365,4.565,65.969145535
svm167,4679064,54035689070,0,53835868573,32739699630,204.710,75.04%,780073039,2.38%,75.19%,3946723955,24.678,75.29%,2054242313051086,732.343,75.36%,280502613161564,1753889.388,50.17%,2812473463041401,17585.460,50.05%,375773160294,0.00,62.57%,410416739186,2566.199,75.05%,175212,0.001,159880.648061,999.680,24909,0.156,0,0.000,148,0.001,1689779,0.011,1690162,0.011,159931.757961,2.941,54.378060524
svm168,5798228,48580835268,0,23857936432,23447290298,230.344,75.15%,702925567,3.00%,75.03%,2509237355,24.650,75.11%,561341151022082,23409585.296,75.22%,2397911556,23.557,50.41%,5278807719483336,51858.455,50.66%,173289663364,0.00,63.16%,260609053302,2560.196,75.38%,145098,0.001,101751.366832,999.595,19149,0.188,0,0.000,148,0.001,2350333,0.023,2350651,0.023,101792.615219,3.587,28.381839755
svm169,6257156,48580835268,0,24065319554,23251788837,237.006,75.11%,697735251,3.00%,75.29%,2415407541,24.620,75.34%,1494220825599176,266.509,75.35%,560665285448815,5714871.667,50.20%,3637632731107047,37078.458,50.30%,173140524037,0.00,62.94%,251148195779,2559.958,75.23%,145971,0.001,98065.678704,999.585,18860,0.192,0,0.000,148,0.002,3212368,0.033,3212694,0.033,98106.364963,3.170,30.948865081
svm170,6785692,48580835268,0,24892884089,23040017935,284.286,75.25%,711010606,3.09%,75.22%,1990977883,24.566,75.33%,1677464903634726,200.185,75.51%,837956723959512,10339384.346,50.39%,3070070376530306,37880.999,50.43%,173992241722,0.00,63.04%,207071262425,2555.012,75.28%,138527,0.002,81007.380749,999.534,15505,0.191,0,0.000,149,0.002,1906829,0.024,1907172,0.024,81045.127634,3.552,22.817963979
svm171,4756676,54836265070,0,54276353157,47229725418,128.471,75.04%,938480361,1.99%,75.08%,9106415267,24.771,75.15%,1311524281421318,466.373,75.12%,281217754539799,764947.771,50.05%,3938875851650231,10714.239,50.03%,431955698962,0.00,62.55%,946987031925,2575.924,74.97%,226417,0.616,367562.215870,999.816,27970,0.076,0,0.000,148,0.000,3768518,0.010,3769052,0.010,367630.007123,5.272,69.734634757
svm172,7544952,48580835268,0,23993234586,23764031055,260.139,75.08%,706812265,2.97%,75.14%,2249383432,24.623,75.12%,1495108469482027,62072174.166,75.31%,2408661352,26.367,50.51%,5009820728747760,54841.352,50.57%,177454004181,0.00,62.89%,234019986350,2561.763,75.12%,139928,0.002,91312.886373,999.581,17208,0.188,0,0.000,148,0.002,3171206,0.035,3171540,0.035,91351.153647,3.260,28.022149575
svm173,5822564,48580835268,0,23804549596,23217611312,276.901,75.12%,706911340,3.04%,75.08%,2059176929,24.558,75.28%,1493697560147434,535.432,75.38%,278970313425455,3327098.374,50.45%,3902562852039492,46543.341,50.49%,174577791551,0.00,63.17%,214102571728,2553.463,75.44%,139232,0.002,83808.820766,999.534,17413,0.208,0,0.000,148,0.002,2426586,0.029,2426901,0.029,83847.930565,3.402,24.650181996
svm174,5716328,48580835268,0,23257900955,23848096053,222.376,75.09%,706626463,2.96%,75.03%,2640520398,24.622,74.96%,1497500198403045,179.497,75.19%,834275092462332,7779338.777,50.61%,3336967950203881,31116.120,50.61%,175732585493,0.00,62.95%,274923085366,2563.567,75.18%,148851,0.001,107200.747781,999.611,18059,0.168,0,0.000,148,0.001,2049325,0.019,2049678,0.019,107242.416918,3.550,30.207943437
svm175,5848032,48580835268,0,23984698162,25764124464,210.031,75.09%,746557890,2.90%,75.11%,3025870602,24.667,75.13%,2428285088451937,92572775.445,75.34%,2623109307,21.384,50.36%,3080463141710246,25112.213,50.26%,186013284139,0.00,62.73%,314498970239,2563.824,75.10%,150564,0.001,122624.778567,999.648,19127,0.156,0,0.000,147,0.001,3020363,0.025,3020721,0.025,122667.927737,3.810,32.198254112
svm176,6114768,48580835268,0,23475500606,23167964737,254.510,75.11%,696995891,3.01%,74.97%,2239597073,24.603,75.23%,1490387487490312,62111925.901,75.54%,2399519039,26.360,50.40%,3907231883238555,42922.631,50.43%,173944401415,0.00,62.89%,232875448728,2558.237,75.19%,140252,0.002,90989.868044,999.563,17090,0.188,0,0.000,149,0.002,1680817,0.018,1681139,0.018,91029.646332,3.429,26.549113257
svm177,6436552,48580835268,0,25017312098,22935986271,283.538,75.26%,701605967,3.06%,75.08%,1988860974,24.587,75.18%,2621514123388270,938.779,75.16%,279247231852028,3452097.850,50.40%,2213257506941265,27360.635,50.87%,172511744239,0.00,63.33%,206525490092,2553.100,75.59%,138180,0.002,80854.274021,999.533,16512,0.204,0,0.000,148,0.002,1653071,0.020,1653346,0.020,80892.038391,3.727,21.703223430
svm178,5628644,48580835268,0,23746360434,23774331377,226.832,75.33%,707542098,2.98%,75.19%,2584835370,24.662,74.94%,2064682256832047,738.775,74.98%,279473728499395,2666472.292,50.36%,2502199116084407,23873.602,50.63%,176566640217,0.00,63.08%,268733089344,2563.995,75.28%,145076,0.001,104770.214611,999.618,17528,0.167,0,0.000,149,0.001,1820288,0.017,1820619,0.017,104810.287851,3.692,28.388593287
svm179,6431124,48580835268,0,23306477432,23150759152,242.326,75.15%,701326598,3.03%,75.39%,2351310090,24.612,75.47%,1305788809914461,464.903,75.45%,280873161617571,2939978.991,50.11%,3928917662868018,41125.095,50.15%,173608200795,0.00,62.74%,244414206220,2558.353,75.17%,143495,0.002,95495.367532,999.577,18573,0.194,0,0.000,148,0.002,2351764,0.025,2352075,0.025,95535.771665,3.176,30.084967154
svm180,6919500,48580835268,0,23921886525,23830017661,234.301,74.81%,703264058,2.95%,75.10%,2504974388,24.629,75.30%,1866783578765903,335.160,75.39%,556982896720578,5476348.455,50.54%,3067740809257904,30162.538,50.47%,175103515522,0.00,62.84%,260750730333,2563.745,75.06%,148015,0.001,101665.626541,999.593,18626,0.183,0,0.000,147,0.001,2309113,0.023,2309451,0.023,101706.986199,3.335,30.501199430
svm181,5318964,48580835268,0,23412543515,22484604647,265.312,75.17%,688712258,3.06%,74.90%,2084281765,24.594,74.98%,2620122019180841,471.881,75.20%,555250348737104,6551797.796,50.69%,2211145525262481,26090.895,50.92%,169341279411,0.00,63.26%,216897193579,2559.326,75.42%,141138,0.002,84709.682552,999.550,16812,0.198,0,0.000,148,0.002,1036394,0.012,1036730,0.012,84747.784658,3.937,21.525436392
svm182,4659120,48580835268,0,23321866175,33459811431,153.718,75.05%,897003028,2.68%,75.00%,5384114228,24.735,75.04%,2249439506487961,803.485,75.08%,279960496428736,1286168.282,50.27%,3076354119226817,14133.098,50.33%,222930389626,0.00,62.81%,559833624222,2571.935,75.17%,188996,0.868,217613.448270,999.739,19933,0.092,0,0.000,148,0.001,1548421,0.007,1548814,0.007,217670.191575,5.827,37.353167062
svm183,5283328,48580835268,0,23274260508,22809942465,243.699,75.18%,686171632,3.01%,74.94%,2301402412,24.588,75.11%,2054360415105380,87077793.266,75.36%,2359224250,25.206,50.57%,3333750004560889,35617.391,50.66%,171511690757,0.00,63.04%,239718936599,2561.129,75.32%,143933,0.002,93559.514480,999.579,16735,0.179,0,0.000,147,0.002,1085829,0.012,1086128,0.012,93598.940018,3.890,24.060686123
svm184,7888240,48580835268,0,23925247571,24383776371,237.077,75.23%,706312346,2.90%,75.12%,2532759981,24.625,75.21%,934641059708970,38436108.411,75.29%,2431674533,23.642,50.31%,4460336523902299,43366.605,50.49%,178860992333,0.00,62.88%,263523228975,2562.163,75.17%,148321,0.001,102810.432342,999.597,17941,0.174,0,0.000,148,0.001,3581143,0.035,3581478,0.035,102851.871789,3.287,31.287517525
svm185,5558152,48580835268,0,24289521789,23209770121,296.523,75.56%,708273388,3.05%,75.23%,1922755727,24.565,74.92%,2443434502395267,100567218.076,74.88%,2429653071,31.041,50.36%,3036722492167485,38796.546,50.98%,174503172436,0.00,63.53%,200140038157,2556.948,75.75%,138834,0.002,78234.494711,999.508,15752,0.201,0,0.000,151,0.002,1594548,0.020,1594838,0.020,78273.011064,3.631,21.558140329
svm186,5813812,48580835268,0,23853016229,22302309440,286.748,75.05%,697344291,3.13%,75.35%,1908282688,24.535,75.74%,2234168916707206,94218177.244,75.59%,2371271640,30.488,50.19%,2805616779315885,36072.712,50.17%,171334883926,0.00,62.81%,198649305972,2554.098,75.30%,139478,0.002,77737.951044,999.502,17265,0.222,0,0.000,148,0.002,1828234,0.024,1828520,0.024,77776.708205,3.531,22.025918494
svm187,6502584,48580835268,0,23416587276,23151707094,274.337,75.52%,711365637,3.07%,75.29%,2076118825,24.601,75.18%,2436809498691819,216.488,75.08%,1125607362375191,13337913.138,50.01%,1671699460538012,19808.845,50.52%,174726046477,0.00,63.10%,215815897920,2557.316,75.30%,141051,0.002,84353.228760,999.546,17340,0.205,0,0.000,148,0.002,1772305,0.021,1772637,0.021,84391.564910,3.539,23.848925530
svm188,4738412,48634235667,0,23763602438,33717896281,156.360,75.17%,896840832,2.66%,75.05%,5332532998,24.729,75.05%,2249009141586292,200.248,75.09%,1123113001858668,5208208.970,50.12%,2240790263044952,10391.211,50.26%,224642297225,0.00,62.79%,554566955490,2571.692,75.21%,190174,0.882,215586.421282,999.738,19465,0.090,0,0.000,148,0.001,1781335,0.008,1781785,0.008,215642.845423,5.778,37.321733701
svm189,6713460,48580835268,0,23619675328,23046816920,271.461,74.87%,697358340,3.03%,75.08%,2085015610,24.559,75.52%,1673922047130171,599.945,75.67%,279012606224659,3286400.125,50.44%,3643736444265572,42918.405,50.21%,173853211114,0.00,62.72%,217017165046,2556.176,74.91%,137285,0.002,84861.033817,999.551,16512,0.194,0,0.000,147,0.002,1884764,0.022,1885078,0.022,84899.158848,3.407,24.918274245
svm190,5857680,48580835268,0,23872905281,23402822235,293.662,75.53%,709167811,3.03%,75.63%,1958447095,24.575,75.15%,2063506970588899,367.514,75.02%,561476526147319,7045477.898,50.13%,3065799425912532,38470.036,50.50%,175150154716,0.00,63.19%,203644762241,2555.360,75.37%,139378,0.002,79656.362822,999.538,15859,0.199,0,0.000,148,0.002,1730510,0.022,1730840,0.022,79693.178274,3.753,21.233939940
svm191,6773364,48580835268,0,24069223634,23307445504,263.250,75.60%,708541670,3.04%,75.37%,2179595338,24.618,75.15%,1314241079945968,53398437.354,74.96%,2461197640,27.798,50.03%,4447068217734054,50228.198,50.64%,175311951446,0.00,63.39%,226224870139,2555.137,75.70%,141406,0.002,88497.576476,999.552,18294,0.207,0,0.000,148,0.002,3233421,0.037,3233758,0.037,88537.283921,3.176,27.873241482
svm192,7170908,48580835268,0,24190829282,23390200160,264.932,75.29%,700642434,3.00%,75.14%,2171629699,24.597,75.24%,1870196589318533,668.047,75.25%,279949922491066,3170892.135,50.27%,3334018083107115,37763.224,50.66%,174294000252,0.00,63.29%,225577389468,2555.034,75.43%,142406,0.002,88247.347189,999.546,18656,0.211,0,0.000,148,0.002,3287416,0.037,3287757,0.037,88287.431604,3.157,27.968372111
svm193,4976932,48580835268,0,22838255418,23974263630,225.933,75.13%,704404130,2.94%,75.37%,2615847217,24.652,75.38%,2052017229267414,731.722,75.44%,280436683484510,2642829.191,50.19%,3376245491044066,31817.664,50.02%,175623176867,0.00,62.56%,272107253092,2564.333,74.93%,149860,0.001,106071.727290,999.618,16987,0.160,0,0.000,147,0.001,1104616,0.010,1104983,0.010,106112.299838,4.024,26.372287052
svm194,5838076,48580835268,0,23858949834,23539426544,258.739,75.31%,706688660,3.00%,75.46%,2240790801,24.630,75.49%,2057865817027001,729.246,75.23%,282191062333099,3101771.185,49.87%,3084717639316048,33906.419,50.19%,175560834315,0.00,63.00%,232673366482,2557.485,75.39%,143473,0.002,90936.502008,999.551,17791,0.196,0,0.000,148,0.002,2267699,0.025,2268003,0.025,90977.395009,3.399,26.764649403
svm195,6882344,48580835268,0,24502492752,22938856984,250.888,75.40%,691081179,3.01%,75.30%,2250740501,24.617,75.32%,2236520581353639,93283228.543,75.51%,2397559150,26.223,50.16%,3370122205996695,36859.909,50.12%,172885407495,0.00,62.63%,233845308962,2557.627,75.10%,141102,0.002,91389.866424,999.555,18163,0.199,0,0.000,148,0.002,3199512,0.035,3199828,0.035,91430.562231,3.104,29.456016077
svm196,6565728,48580835268,0,23826576231,22762541166,245.902,75.21%,687915111,3.02%,75.26%,2280662960,24.638,75.25%,2621365153550195,935.163,75.16%,280311122488952,3028176.816,50.21%,2233635319317698,24129.769,50.41%,172122973022,0.00,63.10%,236819531025,2558.341,75.37%,142904,0.002,92528.490515,999.577,18404,0.199,0,0.000,147,0.002,3231078,0.035,3231445,0.035,92567.620545,3.177,29.141010474
svm197,6086140,48580835268,0,24360043592,22711240240,247.931,75.32%,693158616,3.05%,75.18%,2253733959,24.603,75.18%,2439053468178052,436.338,75.01%,558982800850758,6102238.373,50.36%,2492593939107910,27210.859,50.82%,171684947499,0.00,63.39%,234580742415,2560.844,75.62%,145090,0.002,91562.458701,999.558,18982,0.207,0,0.000,149,0.002,2848310,0.031,2848671,0.031,91602.911365,3.214,28.504583486
svm198,4737896,48642241403,0,23889147755,26815470021,188.595,75.26%,724771598,2.70%,75.26%,3505990915,24.658,75.23%,2057769304991714,80728078.966,75.23%,2549013096,17.927,50.05%,3652247594230754,25686.537,50.10%,186497918791,0.00,62.66%,364720289825,2565.106,75.14%,178211,0.001,142135.378035,999.649,19628,0.138,0,0.000,148,0.001,1522916,0.011,1523290,0.011,142185.283153,4.459,31.888989277
