workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),cpu-clock,cpu-clock(M/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUsduration(s)
kmeans12,4532312,2315812699282,572.369,75.00%,4132015906,0.18%,75.01%,100431110857,24.822,75.02%,2251693772560764,399.907,75.00%,563054806159955,139162.824,49.99%,3106473827616081,767.786,50.01%,12715534449885,0.00,62.51%,10442425412298,2580.916,75.01%,1514065,0.374,4045743.441407,999.933,137849,0.034,147,0.000,6686153,0.002,6748792,0.002,4046014.521535,21.868,185.021052221
kmeans13,10775276,238623924153,454.235,75.10%,1115407808,0.47%,75.09%,13050032772,24.842,75.07%,1688863422524851,599.303,75.00%,281804613718368,536432.607,49.94%,3655122014370814,6957.752,50.08%,1478312353741,0.00,62.63%,1356684407474,2582.533,75.10%,150235,0.286,525296.544150,999.935,21005,0.040,147,0.000,6170437,0.012,6172332,0.012,525330.880778,16.085,32.658969370
kmeans14,5635176,2185263278713,583.703,75.00%,4090720360,0.19%,75.00%,93045329014,24.853,74.99%,2251491966872588,4804340.765,75.01%,46863702576,12.518,50.02%,3106882682682949,829.876,50.01%,12588138111487,0.00,62.51%,9675515782032,2584.417,75.00%,867394,0.232,3743636.530100,999.959,113455,0.030,146,0.000,18833426,0.005,18875724,0.005,3743790.813462,21.947,170.582639450
kmeans15,11473244,238266561401,480.687,75.02%,1162849874,0.49%,75.06%,12309293769,24.833,75.06%,2624537678712912,933.609,75.07%,281117396780836,567136.237,50.07%,1969381448343724,3973.100,50.06%,1540270820693,0.00,62.55%,1280196317964,2582.714,75.01%,155070,0.313,495642.601432,999.927,19782,0.040,147,0.000,5870380,0.012,5872522,0.012,495678.777920,15.105,32.815487416
kmeans16,11314104,257387568226,493.819,75.04%,1137343251,0.44%,75.05%,12943968101,24.834,75.05%,1500153439953873,17145862.512,75.05%,8749361188,16.786,50.06%,4216202800274470,8089.123,50.09%,1633256817283,0.00,62.57%,1346167544184,2582.730,75.01%,171384,0.329,521181.595079,999.929,22768,0.044,146,0.000,6625080,0.013,6626936,0.013,521218.762372,15.121,34.469893306
kmeans17,9933516,361022389471,365.829,75.00%,1485258361,0.41%,74.99%,24536379814,24.863,75.00%,1876102551313552,667.502,75.02%,281063060982536,284804.856,50.08%,3375015139755922,3419.947,50.08%,2213609536450,0.00,62.59%,2551444100956,2585.411,75.05%,162712,0.165,986822.525415,999.960,25183,0.026,148,0.000,9310030,0.009,9312286,0.009,986861.899346,19.387,50.903866557
kmeans18,8870820,1393669526673,547.861,75.00%,4116987287,0.30%,75.00%,63169457459,24.832,75.01%,1313289028167250,2688340.624,75.02%,48851288271,19.204,50.01%,4228627058664390,1662.301,50.01%,7840849809468,0.00,62.52%,6568696934670,2582.198,75.01%,386616,0.152,2543750.459517,999.965,61190,0.024,147,0.000,36151136,0.014,36161678,0.014,2543838.881326,16.440,154.733262458
kmeans19,11577432,269681831149,522.521,75.05%,1205937296,0.45%,75.03%,12817363102,24.834,75.04%,3188069151952231,37964295.662,75.05%,8397545895,16.271,50.05%,1968336452179314,3813.743,50.09%,1753308957571,0.00,62.60%,1332939643288,2582.632,75.05%,148546,0.288,516082.821366,999.934,19017,0.037,147,0.000,7121451,0.014,7122943,0.014,516116.699322,15.822,32.621076346
kmeans20,10794368,278041371689,523.791,75.06%,1230203597,0.44%,75.10%,13184943222,24.839,75.07%,1125216611441448,199.866,75.05%,562986818345756,1060588.122,50.00%,4223263422387977,7956.035,50.01%,1753123352584,0.00,62.55%,1370630330910,2582.075,75.04%,156566,0.295,530789.324648,999.933,21725,0.041,148,0.000,7830774,0.015,7832866,0.015,530825.121161,15.499,34.248310419
kmeans21,11009376,271989522622,490.323,75.05%,1217598493,0.45%,75.05%,13776752869,24.836,75.07%,2437641585798632,28231478.460,75.06%,8634480795,15.566,50.00%,3094527147633225,5578.586,50.05%,1706809569796,0.00,62.57%,1432806674678,2582.958,75.05%,155742,0.281,554680.332919,999.937,21234,0.038,147,0.000,8064015,0.015,8066460,0.015,554715.362554,16.391,33.842337614
kmeans22,5611704,2071184096580,701.445,74.98%,3825634802,0.18%,75.00%,73337278225,24.837,75.02%,1688169682501610,4121773.161,75.03%,40957365104,13.871,50.02%,4231546895887709,1433.092,49.99%,12019902773115,0.00,62.49%,7626067113760,2582.709,74.98%,768235,0.260,2952595.463893,999.951,100914,0.034,147,0.000,14245584,0.005,14280039,0.005,2952739.758087,21.342,138.352009959
kmeans23,4503388,2249534040113,571.421,75.01%,4103037442,0.18%,75.02%,97737593303,24.827,75.02%,3189600694889085,1132.815,75.01%,281564122365889,71522.207,49.99%,1700135951317434,431.864,49.99%,13425843603330,0.01,62.49%,10162649714179,2581.491,75.00%,1472494,0.374,3936463.809683,999.931,154876,0.039,146,0.000,6486653,0.002,6553172,0.002,3936737.027865,22.693,173.474864089
kmeans24,5633936,1993308292930,692.045,74.99%,3964185479,0.20%,75.00%,71561622056,24.845,75.01%,2064075348934107,366.858,75.00%,562636010673237,195338.377,50.03%,2821555972597274,979.600,50.03%,11583708546463,0.00,62.53%,7441641168748,2583.621,75.01%,719078,0.250,2880173.432297,999.951,104534,0.036,148,0.000,12236130,0.004,12269987,0.004,2880314.754388,21.322,135.084801732
